model,class,TP,FP,FN
logistic_regression_multi,benign,27309,3469,6891
logistic_regression_multi,bruteforce,0,2970,0
logistic_regression_multi,ddos,0,3471,0
logistic_regression_multi,dos,0,4364,0
logistic_regression_multi,malware,0,1947,0
logistic_regression_multi,mitm,0,4512,0
logistic_regression_multi,recon,0,6994,0
logistic_regression_multi,web,0,1762,0
decision_tree_multi,benign,30717,2420,3483
decision_tree_multi,bruteforce,0,2253,0
decision_tree_multi,ddos,0,4116,0
decision_tree_multi,dos,0,4365,0
decision_tree_multi,malware,0,2143,0
decision_tree_multi,mitm,0,2093,0
decision_tree_multi,recon,0,6964,0
decision_tree_multi,web,0,1727,0
random_forest_multi,benign,30702,2464,3498
random_forest_multi,bruteforce,0,2401,0
random_forest_multi,ddos,0,3882,0
random_forest_multi,dos,0,4366,0
random_forest_multi,malware,0,2059,0
random_forest_multi,mitm,0,2262,0
random_forest_multi,recon,0,6900,0
random_forest_multi,web,0,1762,0
