feature,importance
network_ports_all_count,0.008105543894919989
network_tcp-flags_std_deviation,0.004297448829675259
network_packets_dst_count,0.004255057811676484
network_window-size_min,0.00341247453097353
network_packet-size_max,0.002231238610778918
network_tcp-flags-syn_count,0.002225505608577756
network_tcp-flags_min,0.0018572760017366678
network_ttl_min,0.00185024321007086
network_time-delta_avg,0.0018295279630133603
network_ips_dst_count,0.0017777354189789216
network_ports_dst_has_80,0.0016159791084686518
network_time-delta_std_deviation,0.0015429925530168562
network_interval-packets,0.001447175401083238
network_ttl_avg,0.001379793174598727
network_tcp-flags-ack_count,0.0013401178432648816
network_time-delta_max,0.0012697995417355545
network_tcp-flags-psh_count,0.00123792609492449
network_ports_dst_count,0.001110487809920222
network_packet-size_min,0.0010674761096675376
network_ports_src_has_1883,0.001022612012201148
network_tcp-flags-rst_count,0.0010179642227233843
network_time-delta_min,0.0009685433196380584
network_ports_dst_has_1883,0.0009425842236313407
network_ip-length_max,0.0009179014570320943
network_packets_all_count,0.0008899258908832622
network_window-size_std_deviation,0.0008761036542804082
network_mss_min,0.0008688914457456904
network_ip-flags_avg,0.0008646397496532482
network_payload-length_avg,0.0007678941195288202
network_ip-length_min,0.0007200152798201156
network_window-size_avg,0.0007005402846854983
network_ports_dst_has_23,0.0006195248219523326
network_protocols_dst_has_data,0.0006096472364957417
network_tcp-flags-fin_count,0.0005971872920761191
network_ports_src_count,0.0005569054860504136
network_packet-size_avg,0.0005494799470829294
network_ips_src_count,0.0005470934729142027
network_packets_src_count,0.0005260256492472278
network_ttl_std_deviation,0.0004987704240537204
network_payload-length_std_deviation,0.0004850300682788781
network_tcp-flags_avg,0.0004808248715260801
network_ip-length_avg,0.00040439352236055294
network_ports_src_has_554,0.00040014826093332667
network_tcp-flags_max,0.0003483179597212993
network_window-size_max,0.00034382454439258115
network_ports_dst_has_554,0.00032282806058959323
network_ip-flags_std_deviation,0.0003110293025036153
network_ports_dst_has_443,0.00027593308026104484
network_ports_dst_has_22,0.00025414870898684644
network_ports_dst_has_6668,0.00025250736321742794
network_protocols_all_count,0.00023234862729752299
network_macs_dst_count,0.00019775495735619558
network_ip-length_std_deviation,0.00019678916236244977
network_ips_all_count,0.0001840403123851843
network_protocols_src_has_dns,0.00018320123203833356
network_fragmented-packets,0.00016981099872055483
network_ports_dst_has_9595,0.00015980510298782178
network_ports_src_has_22,0.00015720043362635094
network_packet-size_std_deviation,0.00014024670430871333
network_ports_src_has_80,0.00013229306724476308
network_payload-length_max,0.00011096233597005325
network_ports_src_has_23,0.00010470013129853644
network_protocols_src_has_tcp,9.719964310845122e-05
network_fragmentation-score,9.629159196589696e-05
network_ports_src_has_6668,7.627199280912079e-05
network_ip-flags_min,6.24803608721875e-05
network_macs_src_count,5.638036874669202e-05
network_protocols_src_has_arp,5.031871940519962e-05
network_protocols_src_count,4.201328879048476e-05
network_protocols_dst_has_arp,3.8278358328542526e-05
network_protocols_src_has_icmp,3.440347305273282e-05
network_ttl_max,3.0272037795177694e-05
network_protocols_dst_count,2.5099828892917172e-05
network_payload-length_min,1.8269440544323238e-05
network_ports_src_has_443,1.5279949147855716e-05
network_macs_all_count,1.3694890126513577e-05
network_mss_avg,6.264445305632471e-06
network_protocols_src_has_ssh,5.3173940327023865e-06
network_ports_dst_has_8000,5.165651847759049e-06
network_header-length_avg,5.085119080198219e-06
network_protocols_src_has_data,3.915287397932697e-06
network_protocols_src_has_mqtt,3.447666531546129e-06
network_protocols_dst_has_icmp,3.1697338030025087e-06
network_ports_src_has_9595,2.608499423748137e-06
network_protocols_src_has_telnet,2.0222569525546374e-06
network_ports_src_has_8000,1.7937638098955571e-06
network_mss_std_deviation,1.035649552118532e-06
network_ip-flags_max,1.604347542416018e-07
network_protocols_dst_has_dns,1.1417457408329576e-07
network_protocols_dst_has_tcp,5.097729309885614e-19
network_header-length_min,5.158272040178694e-22
network_header-length_max,2.9424127373610484e-22
network_mss_max,0.0
network_header-length_std_deviation,0.0
network_protocols_src_has_http,0.0
network_tcp-flags-urg_count,0.0
network_protocols_dst_has_telnet,0.0
network_protocols_dst_has_http,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_lbtrm,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
