feature,importance_macro
network_packets_dst_count,0.06073020236689088
network_packet-size_min,0.03631271137951379
network_tcp-flags_std_deviation,0.03000592789216899
network_ttl_min,0.020163340269894078
network_ip-length_max,0.0141742990940374
network_window-size_std_deviation,0.014136633518238595
network_ip-length_min,0.01284410984272391
network_ips_dst_count,0.011703303867169359
network_window-size_min,0.011178952950892308
network_macs_dst_count,0.010250446692519786
network_ips_all_count,0.009914426916319023
network_ip-length_std_deviation,0.009791323221854697
network_time-delta_avg,0.009785323269984415
network_time-delta_std_deviation,0.009434817257569532
network_ip-length_avg,0.008713615147051964
network_ttl_avg,0.007994772745195156
network_packets_src_count,0.0072159722074457465
network_tcp-flags_avg,0.00645513222071442
network_time-delta_max,0.005287802639757026
network_packets_all_count,0.005035925565656703
network_macs_all_count,0.004846466625228043
network_window-size_max,0.0035173896255817705
network_interval-packets,0.003111297365105079
network_window-size_avg,0.0031065672758565973
network_payload-length_max,0.0030796526120696996
network_time-delta_min,0.0029166333322960623
network_tcp-flags-ack_count,0.00258123721015287
network_payload-length_std_deviation,0.002199299728926388
network_ports_all_count,0.0021370050332554617
network_ip-flags_std_deviation,0.001997831544940373
network_ip-flags_avg,0.001826004272001889
network_tcp-flags-rst_count,0.001799294167573275
network_packet-size_avg,0.001783661873622873
network_packet-size_max,0.001701039916165646
network_protocols_src_count,0.0016795228449805496
network_ports_dst_count,0.0015238648048775199
network_ports_dst_has_23,0.0012856333352777244
network_ips_src_count,0.0010769684696147622
network_protocols_src_has_icmp,0.0010517747403169205
network_ports_dst_has_1883,0.0009334790397876012
network_protocols_dst_has_telnet,0.0008832173362078137
network_ttl_max,0.0008283240056998479
network_tcp-flags_max,0.0008186697456770899
network_ip-flags_min,0.000751950794077688
network_packet-size_std_deviation,0.0007255605941656191
network_ports_src_has_1883,0.0006786290319268054
network_protocols_all_count,0.0006457273715150211
network_protocols_src_has_arp,0.0005576805948095141
network_protocols_dst_count,0.0005570589618744647
network_payload-length_avg,0.0005414919502628049
network_ttl_std_deviation,0.0004658353680350673
network_ports_src_has_443,0.00046141452488856555
network_ports_dst_has_22,0.0004507534566694266
network_ports_src_has_23,0.0004225709461491627
network_protocols_src_has_dns,0.0003667745856864994
network_ports_dst_has_443,0.0003143614600379706
network_ports_src_has_80,0.0003113960470377202
network_macs_src_count,0.00027187769646674665
network_ports_src_count,0.00024230754887824812
network_protocols_dst_has_arp,0.0002375591539952213
network_protocols_src_has_mqtt,0.00023354619793431852
network_protocols_src_has_telnet,0.00023135791678471394
network_protocols_src_has_data,0.00019297496708468398
network_protocols_dst_has_data,0.00018879888490448872
network_mss_max,0.00017813450776242682
network_tcp-flags-psh_count,0.00015725887428624504
network_ports_src_has_6668,0.00014408017067233465
network_tcp-flags-fin_count,0.00012302728939293705
network_protocols_src_has_tcp,0.00010404089114360056
network_fragmentation-score,9.412559977740722e-05
network_mss_min,7.521119530379452e-05
network_tcp-flags-syn_count,7.488129701022119e-05
network_protocols_dst_has_tcp,5.356461535015466e-05
network_protocols_dst_has_http,2.728023863267268e-05
network_tcp-flags_min,1.7720628193520148e-05
network_ports_dst_has_6668,1.1285836352929074e-05
network_ports_dst_has_80,9.230159068783659e-06
network_fragmented-packets,4.020503170424583e-06
network_header-length_std_deviation,0.0
network_header-length_min,0.0
network_payload-length_min,0.0
network_mss_std_deviation,0.0
network_ip-flags_max,0.0
network_mss_avg,0.0
network_header-length_max,0.0
network_header-length_avg,0.0
network_tcp-flags-urg_count,0.0
network_protocols_src_has_http,0.0
network_protocols_src_has_ssh,0.0
network_ports_src_has_9595,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_icmp,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_lbtrm,0.0
network_ports_src_has_22,0.0
network_ports_src_has_557,0.0
network_ports_src_has_554,0.0
network_ports_src_has_8000,0.0
network_ports_dst_has_9595,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_557,0.0
