feature,shap_importance
network_payload-length_min,0.008164354103020908
network_ports_dst_has_23,0.005223495477652211
network_packet-size_std_deviation,0.0043471106717105175
network_tcp-flags_max,0.00430163226267554
network_window-size_avg,0.003256174187732987
network_tcp-flags-psh_count,0.002314292786122424
network_mss_std_deviation,0.0022372947222901933
network_tcp-flags_avg,0.0018972834839132207
network_tcp-flags_min,0.0018393332864966277
network_ttl_avg,0.0018274164807320795
network_ip-length_std_deviation,0.001669914243246759
network_ports_dst_has_1883,0.0016173769734567015
network_time-delta_max,0.0015085626496771718
network_header-length_min,0.0014503871927370726
network_protocols_dst_count,0.0013814279710100046
network_time-delta_min,0.0013512255063190166
network_ports_dst_has_557,0.0012929952596217316
network_tcp-flags_std_deviation,0.0012298686580886377
network_tcp-flags-ack_count,0.0012209211718023027
network_payload-length_std_deviation,0.001137957856607202
network_protocols_dst_has_icmp,0.0010523275364088779
network_tcp-flags-fin_count,0.0010154135813080075
network_packet-size_avg,0.0009918938482083753
network_ports_src_has_557,0.0009748772555353044
network_time-delta_avg,0.000961332396921328
network_header-length_std_deviation,0.0009124051775867862
network_mss_avg,0.0008847720882665689
network_ip-flags_std_deviation,0.0008832993715365606
network_packet-size_min,0.0008598335787766702
network_window-size_max,0.0008054450648361372
network_ip-length_avg,0.0007389508055663668
network_packets_dst_count,0.0007319485663261132
network_ttl_min,0.0006409827755072646
network_protocols_src_count,0.0006126258348082841
network_protocols_dst_has_ssh,0.0006078048213678339
network_ports_dst_has_554,0.0005701924196562075
network_mss_min,0.0005532204422033519
network_ips_all_count,0.0005451171530994548
network_ports_all_count,0.0005422129386532394
network_ttl_max,0.000505405186284551
network_packets_all_count,0.0004932464714195985
network_payload-length_max,0.0004882940374112979
network_tcp-flags-syn_count,0.00048072783804496336
network_ports_src_has_443,0.0003957519546302251
network_ip-flags_min,0.0003949921796438448
network_ttl_std_deviation,0.00034955775004000695
network_ports_dst_has_443,0.00034118098010437164
network_tcp-flags-urg_count,0.0003337846776800332
network_ip-flags_max,0.0002992769890998431
network_ports_src_has_6668,0.00028215965775157855
network_ports_dst_has_80,0.00025750854050084107
network_ports_dst_has_9595,0.0002526651508957157
network_ports_dst_count,0.00023204003010613558
network_ips_src_count,0.0001990759188683744
network_ip-length_min,0.0001897166415917209
network_ip-length_max,0.0001856814075089846
network_protocols_src_has_http,0.00018307548535503453
network_ports_src_has_9595,0.00016042395956768278
label3,0.0001599631872073131
network_ports_src_has_23,0.00015923440983508418
network_packet-size_max,0.00014047721466466762
network_ports_src_has_1883,0.00012387898705589585
network_packets_src_count,0.00010814506677514596
network_window-size_std_deviation,9.61438018247232e-05
device_name,9.593371443929408e-05
network_ports_dst_has_6668,8.941672584763104e-05
network_ports_src_has_554,8.496410276353626e-05
network_ports_src_has_80,7.326208035145813e-05
network_ip-flags_avg,6.22463072269885e-05
network_macs_all_count,5.401984926800499e-05
network_protocols_src_has_mqtt,5.06349097618285e-05
network_protocols_dst_has_lbtrm,3.740390976648291e-05
network_protocols_src_has_dns,3.3768399982927814e-05
network_protocols_all_count,3.355996319172387e-05
network_time-delta_std_deviation,2.6302061622722702e-05
network_ports_src_count,2.4072169570556194e-05
network_payload-length_avg,1.6995117200604604e-05
network_ips_dst_count,1.5989383143308556e-05
network_protocols_dst_has_arp,9.860476947982565e-06
network_ports_dst_has_22,8.264187503946928e-06
network_macs_dst_count,5.504199747357714e-06
network_fragmentation-score,4.921672535503344e-06
network_window-size_min,4.734589531000547e-06
network_protocols_src_has_ssh,3.0308545611927672e-06
network_ports_src_has_22,3.0104368754933463e-06
network_protocols_src_has_tcp,2.723839065361345e-06
network_protocols_dst_has_dns,2.597078470191038e-06
network_protocols_src_has_data,2.317839395102347e-06
network_protocols_dst_has_telnet,1.8185294979529298e-06
network_mss_max,8.005389922434928e-07
network_interval-packets,1.5066494454308075e-07
network_protocols_dst_has_data,9.772118103032672e-08
network_protocols_src_has_icmp,5.04035264253535e-19
network_fragmented-packets,6.3798392389460135e-22
network_header-length_avg,5.5785785278351e-22
network_macs_src_count,0.0
network_header-length_max,0.0
label_extended,0.0
network_tcp-flags-rst_count,0.0
network_protocols_src_has_arp,0.0
network_protocols_src_has_telnet,0.0
network_protocols_dst_has_http,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_tcp,0.0
network_protocols_dst_has_udp,0.0
network_ports_src_has_8000,0.0
network_ports_dst_has_8000,0.0
