feature,importance
network_ip-flags_min,2.0809035646398675
network_header-length_max,1.6526486694617728
network_macs_all_count,1.3703083452127913
network_ips_dst_count,1.2968511032745114
network_header-length_min,1.158506224478864
network_ip-flags_avg,0.9077879688586111
network_interval-packets,0.802108814158319
network_ip-length_max,0.7703121942885827
network_mss_max,0.7155124168405436
network_ip-length_avg,0.6791730148433431
network_fragmented-packets,0.6392267219572106
network_packets_src_count,0.456038627860729
network_ips_src_count,0.44275968907296775
network_tcp-flags-psh_count,0.42513851002093506
network_ip-flags_max,0.35059315969540233
network_mss_avg,0.30057367480409497
network_packets_dst_count,0.295480362754637
network_header-length_avg,0.286866080584306
network_ip-flags_std_deviation,0.2618585992312114
network_ips_all_count,0.2473166850129354
network_packet-size_avg,0.19198160312582885
device_name,0.18432039502296355
network_tcp-flags-rst_count,0.16552580548156953
network_payload-length_std_deviation,0.15795518296376404
network_tcp-flags-ack_count,0.13546550249481437
network_ports_src_count,0.1174989968671022
network_packet-size_max,0.10433068571818077
network_ports_all_count,0.06844365061590807
network_ports_dst_count,0.05620242132178401
network_ip-length_std_deviation,0.055584815467841435
network_mss_min,0.04213562748243714
network_mss_std_deviation,0.039356583911231945
network_tcp-flags-fin_count,0.03664709357320575
network_payload-length_max,0.03511328036290763
network_protocols_all_count,0.03302511849482678
network_protocols_src_count,0.025590826481415925
network_tcp-flags-syn_count,0.022564579593350575
network_payload-length_min,0.017174092860304847
network_payload-length_avg,0.004247096018555997
network_packets_all_count,0.00423151186120331
network_packet-size_min,0.002896349306007714
network_ip-length_min,0.0
network_header-length_std_deviation,0.0
network_fragmentation-score,0.0
network_macs_dst_count,0.0
network_packet-size_std_deviation,0.0
network_macs_src_count,0.0
network_protocols_dst_count,0.0
network_tcp-flags-urg_count,0.0
