feature,importance_macro
network_ports_src_count,2.0482397542044968
network_protocols_dst_has_mqtt,0.6213949801099895
network_tcp-flags-syn_count,0.6065459439457814
network_ports_dst_has_23,0.5547513670438682
network_packet-size_min,0.5417970195387303
network_mss_min,0.5321254627852238
network_tcp-flags-psh_count,0.5188555223635494
network_packet-size_std_deviation,0.5069023040716041
network_fragmented-packets,0.5018474356111371
network_window-size_min,0.465944183886129
network_ports_src_has_80,0.3593165968717788
network_ports_dst_has_80,0.3464702778752112
network_time-delta_std_deviation,0.34195310240606197
network_ip-flags_min,0.3279762259677716
network_protocols_src_has_mqtt,0.318716724600298
network_protocols_dst_has_icmp,0.31656922260913983
network_protocols_src_has_data,0.31599345110430543
network_protocols_src_has_telnet,0.30661614675717475
network_tcp-flags-fin_count,0.2854726837666752
network_protocols_src_has_arp,0.26441225694312226
network_payload-length_min,0.25865004061603936
network_ip-flags_std_deviation,0.21012678631976775
network_protocols_dst_has_arp,0.20782758110639443
network_protocols_src_has_dns,0.19407617205053856
network_interval-packets,0.19349779933346928
network_protocols_src_has_icmp,0.1916105988454051
network_ports_dst_has_443,0.15908722409915796
network_protocols_dst_has_telnet,0.15395514084970396
network_protocols_dst_has_data,0.12836598542244193
network_ports_src_has_22,0.12783228052757623
network_ports_dst_has_9595,0.10627513738191084
network_time-delta_min,0.10310423569549532
network_ports_dst_has_554,0.08404855011064358
network_ports_src_has_8000,0.07131542052886469
network_ports_dst_has_6668,0.06928426993052639
network_protocols_dst_has_dns,0.05789881698086351
network_protocols_dst_has_lbtrm,0.03318327494206174
network_protocols_dst_has_udp,0.02839858152010023
network_protocols_dst_has_http,0.00512701952861326
network_tcp-flags-urg_count,0.0
network_mss_std_deviation,0.0
network_header-length_std_deviation,0.0
network_protocols_src_has_ssh,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_src_has_http,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
