feature,shap_importance
network_ip-flags_max,2.2555339320539676
network_header-length_avg,1.528783283846996
network_ips_all_count,1.2963996545724765
network_header-length_max,1.202148582250328
network_ips_src_count,1.127804009004345
network_header-length_std_deviation,0.8546006617426289
network_ip-length_avg,0.8381320721570414
network_interval-packets,0.8078675051460777
network_mss_avg,0.7146183456306393
network_ip-flags_std_deviation,0.6750032352833958
network_fragmentation-score,0.6096012155348596
network_tcp-flags-fin_count,0.44486799177340364
network_ip-flags_min,0.427320930013562
network_ips_dst_count,0.41015183264612104
network_packets_dst_count,0.37000680082565285
network_ip-flags_avg,0.3150796785616235
network_fragmented-packets,0.28103533823890914
network_macs_src_count,0.21087593540775096
network_packets_all_count,0.20658584684116574
network_ip-length_std_deviation,0.1835737265917239
network_mss_std_deviation,0.16557385286244733
device_name,0.16087645991722122
network_payload-length_min,0.14627183512660738
network_ports_dst_count,0.12819624210246064
network_packet-size_avg,0.1140491605522031
network_tcp-flags-psh_count,0.10115022715693019
network_payload-length_std_deviation,0.09446161369250326
network_protocols_src_count,0.0712859447554679
network_ports_all_count,0.060588951766411055
network_ip-length_min,0.046088138340015586
network_ports_src_count,0.03629427163875914
network_tcp-flags-ack_count,0.03519894229490972
network_protocols_dst_count,0.02559082648141592
network_tcp-flags-rst_count,0.02256457959335057
network_mss_min,0.010977559562017174
network_mss_max,0.009906495489601208
network_payload-length_avg,0.006604378751644069
network_packet-size_std_deviation,0.005077814233443972
network_payload-length_max,0.00479029449615941
network_packets_src_count,0.0006402657314406026
network_packet-size_max,0.0004366355737700071
network_ip-length_max,0.0
network_header-length_min,0.0
label3,0.0
network_macs_all_count,0.0
network_packet-size_min,0.0
network_macs_dst_count,0.0
network_protocols_all_count,0.0
network_tcp-flags-syn_count,0.0
