feature,importance
network_protocols_all_count,0.003231513407066141
network_tcp-flags-psh_count,0.0028979261564090154
device_name,0.002612262180322548
network_tcp-flags-urg_count,0.0018616559775406656
network_fragmentation-score,0.0017373016563627273
network_window-size_std_deviation,0.0017288407972959547
network_ports_dst_count,0.0016333009346187197
network_packets_src_count,0.0015153568939482685
network_packet-size_max,0.0014927098648551919
network_header-length_avg,0.0012518606957027667
network_time-delta_avg,0.0012049801950346649
network_packets_dst_count,0.0011870254554025986
network_window-size_max,0.0011048438541543376
network_tcp-flags-rst_count,0.001086798316499296
network_time-delta_max,0.0010805304009983408
network_ports_dst_has_80,0.001027455135119342
network_protocols_dst_has_icmp,0.0009575844948422156
label_extended,0.000911263832353004
network_ttl_max,0.0008232126186019103
network_packet-size_std_deviation,0.0007804660388582474
network_tcp-flags-fin_count,0.0007792561156581407
network_tcp-flags-syn_count,0.0007673379629428937
network_payload-length_max,0.0007319171333635077
network_packet-size_min,0.0007242245487333143
network_ip-flags_avg,0.0006970405329972643
network_ports_dst_has_1883,0.0006648983050778696
network_fragmented-packets,0.0006641137439234375
network_tcp-flags_max,0.0006295657539973432
network_ttl_avg,0.0006283474657027043
network_ips_src_count,0.0006054028633416649
network_macs_dst_count,0.0005999922589014382
network_payload-length_min,0.0005945585158034223
network_tcp-flags_std_deviation,0.0005861313014696595
network_ip-length_max,0.000574841268407271
network_window-size_avg,0.0005580856639443266
network_ports_dst_has_554,0.0005264688842496236
network_ips_dst_count,0.0005082049515452667
network_time-delta_min,0.0004988720003496066
network_ports_src_count,0.00049572207905072
network_ports_all_count,0.000490175532366269
network_payload-length_avg,0.0004508227381937831
network_mss_std_deviation,0.0004488435193124893
network_window-size_min,0.00040256716250235635
label3,0.0003966752275147012
network_mss_max,0.00038855966935116316
network_mss_avg,0.0003830775002743744
network_ttl_std_deviation,0.00037030678317611114
network_ip-length_avg,0.00036622735453565344
network_packets_all_count,0.0003596164702173673
network_ports_dst_has_23,0.00033623422007644885
network_protocols_dst_has_data,0.0003130708411541998
network_mss_min,0.00030782969500112194
network_ip-flags_max,0.0003074868019039357
network_time-delta_std_deviation,0.00030601369760991433
network_ports_dst_has_22,0.000299431141615352
network_macs_src_count,0.0002976103434075441
network_ports_src_has_1883,0.000294742707469925
network_ports_src_has_80,0.0002644146402023863
network_ports_dst_has_443,0.0002540991540880128
network_ips_all_count,0.00024642829255688825
network_ip-length_min,0.00024370975284211847
network_protocols_dst_has_mqtt,0.00023541985988564723
network_ports_src_has_23,0.00022843957775276266
network_ports_dst_has_6668,0.00022657724475209286
network_ip-length_std_deviation,0.00021867542511504157
network_protocols_src_has_mqtt,0.0002087480685970176
network_protocols_dst_has_http,0.000207774463549758
network_ports_src_has_554,0.00020648914278596805
network_macs_all_count,0.00016858871828581037
network_ttl_min,0.0001432308695433876
network_ports_src_has_6668,0.0001397184117458365
network_protocols_src_has_dns,0.0001350719371919657
network_ports_src_has_22,0.00013287974449865234
network_ports_dst_has_9595,0.00011471814351606213
network_ports_src_has_443,0.00010373612479067859
network_ports_dst_has_557,0.00010204550535333485
network_protocols_src_has_data,9.65953832050603e-05
network_protocols_src_has_telnet,7.799209077909267e-05
network_tcp-flags_min,7.694504639525403e-05
network_protocols_src_has_arp,7.127134460487526e-05
network_protocols_src_has_http,7.04659336544329e-05
network_tcp-flags-ack_count,6.665384480257932e-05
network_ports_src_has_557,6.470775596253247e-05
network_protocols_dst_count,6.42649337238365e-05
network_ip-flags_std_deviation,5.0271077846579437e-05
network_protocols_dst_has_telnet,5.016942834800597e-05
network_ports_src_has_9595,4.1606952067112784e-05
network_protocols_dst_has_arp,3.574080516420418e-05
network_protocols_src_count,3.4514422086546834e-05
network_protocols_dst_has_tcp,3.389532889883024e-05
network_header-length_max,3.329326044826315e-05
network_protocols_src_has_icmp,2.3705625759291634e-05
network_payload-length_std_deviation,1.8481828124479907e-05
network_header-length_std_deviation,1.6292546358465823e-05
network_packet-size_avg,1.0502626959764165e-05
network_protocols_src_has_tcp,1.030822750676088e-05
network_ip-flags_min,7.856599744534779e-06
network_protocols_dst_has_dns,7.03567655263063e-06
network_tcp-flags_avg,6.8769044490650035e-06
network_ports_src_has_8000,6.343955954798469e-06
network_header-length_min,5.546009297711804e-06
network_protocols_src_has_ssh,2.604977152506113e-06
network_ports_dst_has_8000,2.0176869991574432e-06
network_protocols_dst_has_ssh,1.4780985333719283e-06
network_interval-packets,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_lbtrm,0.0
