feature,importance_macro
network_packet-size_min,0.024249979716160042
network_packets_dst_count,0.02371073040601352
network_packets_all_count,0.018639362274153186
network_ports_all_count,0.010457156426970737
network_ttl_min,0.008639644755458887
network_window-size_min,0.007807764729740874
network_time-delta_std_deviation,0.007271078335243346
network_window-size_std_deviation,0.007099033674732633
network_time-delta_avg,0.007057180864694865
network_macs_all_count,0.006897428114466306
network_ip-length_min,0.006418651532984529
network_tcp-flags-rst_count,0.006068877312448556
network_tcp-flags_std_deviation,0.005781387733849644
network_macs_src_count,0.005761273122748888
network_ports_dst_has_23,0.005644454776105928
network_ip-length_avg,0.0046976566459549065
network_window-size_avg,0.004616154164926027
network_ports_src_count,0.004594390997838549
network_ip-flags_avg,0.004572034516829706
network_ips_all_count,0.00455303529214294
network_macs_dst_count,0.004413284780845017
network_ports_src_has_23,0.004354868684859766
network_ttl_std_deviation,0.004318668175501763
network_interval-packets,0.004166162571634994
network_tcp-flags-syn_count,0.0037736549680522417
network_mss_max,0.00345597711406883
network_time-delta_max,0.003285092848595956
network_mss_avg,0.0030113047278673695
network_mss_min,0.002783139892872245
network_packet-size_avg,0.0027635926649654135
network_ips_dst_count,0.002599352572090941
network_window-size_max,0.0025222852288428977
network_tcp-flags_avg,0.0025049408484494294
network_protocols_src_has_telnet,0.0025039014295319805
network_payload-length_avg,0.0023959197193756028
network_ttl_avg,0.002209373855414139
network_ports_dst_count,0.0019069057103041705
network_time-delta_min,0.001744172907173385
network_ip-flags_std_deviation,0.0016144229710590204
network_packets_src_count,0.0015967395921699474
network_ips_src_count,0.0015842785552914582
network_protocols_dst_has_icmp,0.0014898765190010951
network_protocols_dst_count,0.0014062398345532415
network_ip-length_std_deviation,0.0013237793772274858
network_ip-length_max,0.001319756430932921
network_packet-size_max,0.001288368595674746
network_payload-length_std_deviation,0.001244943649515939
network_packet-size_std_deviation,0.0012447633079685
network_payload-length_max,0.0009760627330257717
network_tcp-flags_min,0.0009234564977138831
network_tcp-flags-ack_count,0.0009018967779216409
network_protocols_src_count,0.0008413230154244455
network_tcp-flags-fin_count,0.0008158592044547076
network_ports_src_has_22,0.0007485263291191133
network_header-length_min,0.0006011601390718774
network_ttl_max,0.000555073891196458
network_tcp-flags-psh_count,0.0005471650997277425
network_ports_dst_has_22,0.0005127349169106269
network_protocols_dst_has_data,0.0005099488967048955
network_ports_src_has_1883,0.0004999934519005441
network_protocols_src_has_dns,0.0004703732943923497
network_protocols_all_count,0.000457142952659892
network_protocols_src_has_tcp,0.00045476661673780026
network_protocols_src_has_data,0.0004447037143962898
network_protocols_src_has_arp,0.0004347190736698037
network_payload-length_min,0.0004199044983260804
network_tcp-flags_max,0.0004136751880534036
network_protocols_dst_has_tcp,0.0003857103622375309
network_ports_dst_has_1883,0.0003611421707384387
network_protocols_src_has_mqtt,0.00034368297312723753
network_protocols_dst_has_arp,0.0002731022523160224
network_header-length_max,0.00024985987496163267
network_protocols_src_has_icmp,0.00023408831233575424
network_fragmentation-score,0.00020461860801302225
network_header-length_avg,0.0001508880818364118
network_ip-flags_min,0.00015081868953765537
network_fragmented-packets,0.00014120903839234613
network_ports_src_has_443,0.00013621784772340577
network_protocols_dst_has_telnet,0.00013591635827089524
network_ip-flags_max,0.00012783965878511037
network_ports_dst_has_443,0.00012289327628127038
network_ports_src_has_6668,0.00011063547767557095
network_ports_src_has_80,9.027429213975185e-05
network_ports_dst_has_9595,8.482230051936487e-05
network_protocols_dst_has_dns,7.867181231841341e-05
network_ports_dst_has_80,7.29048131967781e-05
network_ports_dst_has_6668,6.742406429390653e-05
network_ports_src_has_8000,6.240330563709174e-05
network_ports_src_has_554,5.6537782503403644e-05
network_ports_dst_has_554,5.287570882261214e-05
network_protocols_dst_has_mqtt,4.68065336072353e-05
network_protocols_dst_has_ssh,2.8207279892124844e-05
network_ports_src_has_9595,2.1106270215551036e-05
network_ports_dst_has_8000,1.529366746798173e-05
network_protocols_dst_has_http,5.549791868494582e-06
network_mss_std_deviation,3.1560441701538566e-06
network_protocols_src_has_http,2.4290013661675144e-06
network_protocols_src_has_ssh,2.2838454365278046e-06
network_tcp-flags-urg_count,1.1395336721029488e-06
network_header-length_std_deviation,3.015780228018915e-07
network_ports_dst_has_557,1.8661908392085014e-07
network_protocols_dst_has_lbtrm,1.4364320946883038e-07
network_protocols_dst_has_udp,0.0
network_ports_src_has_557,0.0
