feature,shap_importance
network_protocols_all_count,0.0032697463103776247
network_tcp-flags-psh_count,0.0029998341452782402
device_name,0.0025303468110637276
network_tcp-flags-urg_count,0.0019194638456548532
network_fragmentation-score,0.0017005384257591568
network_ports_dst_count,0.0016687020982429912
network_window-size_std_deviation,0.0016563751283697832
network_packets_src_count,0.001513587389681246
network_packet-size_max,0.0014930250215480913
network_header-length_avg,0.0012625311619716075
network_time-delta_avg,0.0012082537602707626
network_packets_dst_count,0.0012080651764348424
network_tcp-flags-rst_count,0.0011053921159612852
network_time-delta_max,0.0010962688192870428
network_window-size_max,0.0010771436258451344
network_ports_dst_has_80,0.0010440761516679403
network_protocols_dst_has_icmp,0.0009055724992193551
label_extended,0.0008774730546042023
network_ttl_max,0.0008179977514621858
network_tcp-flags-fin_count,0.0007842519612526871
network_tcp-flags-syn_count,0.0007771131488700447
network_packet-size_std_deviation,0.0007264878032755733
network_packet-size_min,0.0007260977510194612
network_payload-length_max,0.0007232069022064812
network_ip-flags_avg,0.0007000093117810021
network_ports_dst_has_1883,0.0006818043990309438
network_fragmented-packets,0.0006709889685253404
network_tcp-flags_max,0.000636462465106351
network_ttl_avg,0.0006224468829503008
network_tcp-flags_std_deviation,0.0005987619145957576
network_payload-length_min,0.000588008760554689
network_macs_dst_count,0.0005754586472826082
network_ip-length_max,0.0005681634136086021
network_ips_src_count,0.0005658566954695719
network_window-size_avg,0.0005500768402082277
network_ports_dst_has_554,0.0005293539299957535
network_ports_src_count,0.0004997836926131017
network_time-delta_min,0.00048777683614817743
network_ports_all_count,0.000482912433280224
network_ips_dst_count,0.00047969274894275145
network_mss_std_deviation,0.00045215694885667726
network_payload-length_avg,0.00044575141698882854
label3,0.00041260399547687166
network_window-size_min,0.0004064432978771189
network_mss_max,0.0003881430069936613
network_mss_avg,0.0003737241615346206
network_ttl_std_deviation,0.00036516717295522887
network_ip-length_avg,0.0003611728669328944
network_packets_all_count,0.0003357388796593393
network_ports_dst_has_23,0.00032359131448147637
network_time-delta_std_deviation,0.00031719504594562414
network_mss_min,0.0003088950888542947
network_protocols_dst_has_data,0.00030880259613429097
network_ports_dst_has_22,0.000307422643211228
network_ip-flags_max,0.00030302048268724595
network_ports_src_has_1883,0.0002954813056684999
network_macs_src_count,0.00028698691332690996
network_ports_dst_has_443,0.0002680274625563995
network_ports_src_has_80,0.0002655427673179109
network_ip-length_min,0.00023808155270701504
network_ips_all_count,0.00023716110908944576
network_protocols_dst_has_mqtt,0.00023519734313004782
network_ports_dst_has_6668,0.0002237055091706969
network_ip-length_std_deviation,0.00021802937851415273
network_protocols_dst_has_http,0.0002137255147221984
network_protocols_src_has_mqtt,0.00020668584975291042
network_ports_src_has_554,0.00020388036164219832
network_ports_src_has_23,0.0002020083882177703
network_macs_all_count,0.00016353821881021186
network_ttl_min,0.00014078503121077795
network_ports_src_has_22,0.00013914504398740093
network_ports_src_has_6668,0.00013658561787092187
network_protocols_src_has_dns,0.00013284395520057034
network_ports_dst_has_9595,0.00011459282894308502
network_ports_dst_has_557,0.00010432697862392497
network_ports_src_has_443,0.00010238602323569377
network_protocols_src_has_data,9.256810082136932e-05
network_tcp-flags_min,7.52412824302641e-05
network_protocols_src_has_arp,6.961621517991946e-05
network_protocols_src_has_telnet,6.80023656661569e-05
network_protocols_src_has_http,6.715256679313188e-05
network_ports_src_has_557,6.572507586959461e-05
network_tcp-flags-ack_count,6.502870143855507e-05
network_protocols_dst_count,6.297188502178495e-05
network_ip-flags_std_deviation,5.04301223243793e-05
network_protocols_dst_has_telnet,4.3252775382464275e-05
network_ports_src_has_9595,4.072141207539619e-05
network_protocols_dst_has_arp,3.425234927367235e-05
network_header-length_max,3.310287040555939e-05
network_protocols_src_count,3.271993927673273e-05
network_protocols_dst_has_tcp,3.248311240926441e-05
network_protocols_src_has_icmp,2.3671380954067592e-05
network_payload-length_std_deviation,1.766314079045621e-05
network_header-length_std_deviation,1.5709445383474647e-05
network_protocols_src_has_tcp,1.0511798812527122e-05
network_packet-size_avg,1.0041363935997935e-05
network_ip-flags_min,7.736307775104229e-06
network_tcp-flags_avg,6.9720950475217656e-06
network_ports_src_has_8000,6.339507346136676e-06
network_protocols_dst_has_dns,6.07184483132241e-06
network_header-length_min,5.53558797353691e-06
network_protocols_src_has_ssh,2.4555841227029446e-06
network_ports_dst_has_8000,2.142411050473837e-06
network_protocols_dst_has_ssh,1.405454801098969e-06
network_interval-packets,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_lbtrm,0.0
