feature,importance_micro
network_packet-size_min,0.14487109220754357
network_packets_dst_count,0.08380061927509366
network_tcp-flags_std_deviation,0.07054189318381095
network_ip-length_max,0.056167085417370026
network_ip-length_std_deviation,0.02814619665417141
network_window-size_std_deviation,0.016689510667314222
network_ips_all_count,0.01345394942068527
network_ttl_min,0.00950482494753472
network_tcp-flags_avg,0.00908166082636842
network_payload-length_max,0.009057593490542372
network_packets_src_count,0.008885602363590622
network_ip-length_min,0.008101628199517022
network_ips_dst_count,0.007697361583220217
network_time-delta_avg,0.007417388273726959
network_time-delta_max,0.00572582741991716
network_time-delta_min,0.005353943918244384
network_time-delta_std_deviation,0.003743144785333924
network_window-size_min,0.003058555915088978
network_packet-size_max,0.0024323469812206067
network_packets_all_count,0.0022884097417415696
network_ports_dst_count,0.0021856540581225515
network_protocols_src_count,0.0020051900302615524
network_ttl_max,0.002002511158518674
network_interval-packets,0.0018928102097926156
network_window-size_max,0.0018058583272207384
network_ports_dst_has_1883,0.001630786092021168
network_ttl_avg,0.0015729571573139662
network_window-size_avg,0.0012824040407066306
network_ip-flags_std_deviation,0.0011661507887585135
network_payload-length_std_deviation,0.0011349199806285203
network_ip-flags_avg,0.0011190679430842455
network_ip-length_avg,0.0008929052050182609
network_tcp-flags-ack_count,0.0008347289263284206
network_packet-size_std_deviation,0.0007462664623105714
network_packet-size_avg,0.00043114583186169473
network_protocols_dst_has_telnet,0.00041017760220855533
network_ip-flags_min,0.00040022357705429064
network_protocols_src_has_icmp,0.00038231102006004453
network_protocols_src_has_dns,0.0003718268644459726
network_ttl_std_deviation,0.0003711256944812061
network_protocols_dst_has_arp,0.00029212581485005685
network_protocols_src_has_arp,0.0002800859146683929
network_ports_src_has_443,0.00024226682533012509
network_ports_src_has_1883,0.00023499313556822263
network_tcp-flags_max,0.0002296651783470136
network_ports_dst_has_443,0.0002259773610721424
network_ips_src_count,0.00016168634236859335
network_tcp-flags-rst_count,0.00013944766096102198
network_protocols_dst_count,0.0001352577180899601
network_ports_src_has_23,0.0001342144732854853
network_ports_dst_has_23,0.00013039690993310338
network_ports_all_count,0.00011816608424593109
network_payload-length_avg,0.00011327945695845313
network_macs_all_count,0.00011189850323828734
network_ports_src_has_80,0.00011094322991805489
network_protocols_dst_has_tcp,0.00010436557546807182
network_ports_src_count,9.651554142807049e-05
network_mss_max,7.989295261966373e-05
network_macs_dst_count,7.979429077527527e-05
network_tcp-flags-psh_count,5.5165772617233935e-05
network_ports_dst_has_22,4.332127674983458e-05
network_ports_src_has_6668,3.415545939604966e-05
network_protocols_src_has_data,2.1046347183728437e-05
network_protocols_src_has_tcp,1.7608668087477865e-05
network_protocols_src_has_mqtt,1.3272729169703009e-05
network_protocols_dst_has_http,1.1741656950294328e-05
network_macs_src_count,5.795545989104364e-06
network_protocols_all_count,5.765876067807576e-06
network_ports_dst_has_6668,2.873088017917871e-06
network_mss_min,1.3209723860079294e-06
network_protocols_src_has_telnet,4.7435993897145987e-07
network_fragmented-packets,0.0
network_payload-length_min,0.0
network_mss_std_deviation,0.0
network_ip-flags_max,0.0
network_mss_avg,0.0
network_header-length_max,0.0
network_header-length_avg,0.0
network_header-length_std_deviation,0.0
network_header-length_min,0.0
network_fragmentation-score,0.0
network_protocols_src_has_http,0.0
network_protocols_src_has_ssh,0.0
network_tcp-flags_min,0.0
network_tcp-flags-urg_count,0.0
network_tcp-flags-syn_count,0.0
network_tcp-flags-fin_count,0.0
network_protocols_dst_has_udp,0.0
network_ports_src_has_22,0.0
network_ports_src_has_9595,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_icmp,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_data,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_lbtrm,0.0
network_ports_dst_has_9595,0.0
network_ports_src_has_557,0.0
network_ports_src_has_554,0.0
network_ports_src_has_8000,0.0
network_ports_dst_has_80,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_557,0.0
