feature,importance_micro
network_packets_dst_count,0.028878560583155407
network_window-size_std_deviation,0.02682768900604555
network_ip-length_min,0.020535448643326647
network_ttl_min,0.01584873036838759
network_time-delta_std_deviation,0.014381574933404957
network_ips_all_count,0.014185497460001755
network_ips_dst_count,0.013360064494777791
network_tcp-flags_avg,0.009374004525416667
network_window-size_min,0.007438755705456983
network_tcp-flags-ack_count,0.006886078065532917
network_time-delta_min,0.005725417018975588
network_time-delta_avg,0.0052034681162739516
network_tcp-flags_std_deviation,0.004770662678032452
network_packets_src_count,0.004030734200613317
network_protocols_src_count,0.0039653953859179695
network_ip-length_std_deviation,0.003882252843862812
network_time-delta_max,0.003710400249644382
network_ports_dst_has_1883,0.0036163199990928694
network_ip-flags_std_deviation,0.003583232221294555
network_protocols_dst_has_telnet,0.0035328693448317644
network_interval-packets,0.0032629942971112657
network_packet-size_min,0.002355162250330175
network_ip-flags_avg,0.0018617570953207297
network_packets_all_count,0.0018291732732450179
network_ports_dst_has_22,0.0018030138266777053
network_ports_all_count,0.0015198539851093058
network_packet-size_max,0.0011267496750162246
network_protocols_src_has_mqtt,0.0009173704187955645
network_ttl_std_deviation,0.000884055345792772
network_protocols_src_has_telnet,0.0008780538635328073
network_ports_dst_has_443,0.0007596229615806381
network_tcp-flags-rst_count,0.0006111700985211075
network_window-size_avg,0.0005839228854532575
network_protocols_src_has_arp,0.0005561948865036198
network_macs_dst_count,0.0005042506591360833
network_ports_src_has_23,0.0004054488287679568
network_mss_max,0.00036123757599416804
network_protocols_src_has_icmp,0.0003056625005519962
network_tcp-flags-syn_count,0.00021486894170480775
network_protocols_all_count,0.00019066252363258757
network_packet-size_std_deviation,0.00019058854893701073
network_ports_src_count,0.00017912675965080406
network_packet-size_avg,0.00015333448173598206
network_ports_dst_has_23,0.00014546492984097298
network_protocols_src_has_dns,0.00014224627801021512
network_ip-length_avg,3.9889786142696016e-05
network_payload-length_min,0.0
network_payload-length_std_deviation,0.0
network_ports_dst_count,0.0
network_payload-length_max,0.0
network_ip-flags_min,0.0
network_ips_src_count,0.0
network_macs_all_count,0.0
network_macs_src_count,0.0
network_header-length_std_deviation,0.0
network_header-length_min,0.0
network_header-length_max,0.0
network_header-length_avg,0.0
network_fragmentation-score,0.0
network_fragmented-packets,0.0
network_payload-length_avg,0.0
network_mss_std_deviation,0.0
network_mss_avg,0.0
network_mss_min,0.0
network_ip-length_max,0.0
network_ip-flags_max,0.0
network_tcp-flags_max,0.0
network_tcp-flags_min,0.0
network_tcp-flags-fin_count,0.0
network_protocols_dst_count,0.0
network_tcp-flags-psh_count,0.0
network_tcp-flags-urg_count,0.0
network_protocols_src_has_ssh,0.0
network_protocols_src_has_tcp,0.0
network_protocols_src_has_http,0.0
network_protocols_src_has_data,0.0
network_ttl_avg,0.0
network_ttl_max,0.0
network_window-size_max,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_lbtrm,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_arp,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_http,0.0
network_protocols_dst_has_data,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_tcp,0.0
network_ports_src_has_22,0.0
network_ports_src_has_1883,0.0
network_ports_src_has_443,0.0
network_ports_src_has_9595,0.0
network_protocols_dst_has_icmp,0.0
network_ports_src_has_8000,0.0
network_ports_src_has_80,0.0
network_ports_src_has_554,0.0
network_ports_dst_has_9595,0.0
network_ports_src_has_557,0.0
network_ports_src_has_6668,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_80,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_6668,0.0
network_ports_dst_has_557,0.0
