feature,importance_micro
network_packets_dst_count,0.09067860708608774
network_macs_dst_count,0.036932898774128926
network_packet-size_min,0.01984985518701338
network_time-delta_std_deviation,0.018772398905177762
network_ttl_avg,0.01637993967444889
network_ip-length_avg,0.014333563462229785
network_packets_all_count,0.014280530659000423
network_time-delta_avg,0.013167378825188406
network_macs_all_count,0.012232333116272946
network_window-size_min,0.010594394819022222
network_ips_all_count,0.010578744741096964
network_tcp-flags_std_deviation,0.010542773669396191
network_ip-length_max,0.010408592703155865
network_packets_src_count,0.010120345271108182
network_ttl_min,0.008754580820696052
network_ip-length_std_deviation,0.00744580992472813
network_window-size_max,0.007237540553570078
network_ips_dst_count,0.005759559222150963
network_window-size_std_deviation,0.005673062864514538
network_ports_all_count,0.004620082993075719
network_ips_src_count,0.004222879544057143
network_interval-packets,0.003765008032038677
network_window-size_avg,0.003498607521965867
network_ip-length_min,0.003031300298861918
network_tcp-flags_avg,0.002894146567503322
network_payload-length_std_deviation,0.0027989267437540807
network_tcp-flags-rst_count,0.002555603913700993
network_time-delta_max,0.002470299288465388
network_protocols_all_count,0.0023661936957556284
network_payload-length_max,0.002196396055502489
network_ip-flags_avg,0.002080491250227684
network_ports_dst_has_23,0.0017123629420223523
network_time-delta_min,0.0016439435519622382
network_ports_src_has_1883,0.001621708806485756
network_packet-size_std_deviation,0.0015803457908282414
network_protocols_src_has_icmp,0.0015361418341570871
network_payload-length_avg,0.001457659226726203
network_packet-size_avg,0.0013399428469453155
network_ip-flags_min,0.0012927674785933895
network_ip-flags_std_deviation,0.001248710616759441
network_macs_src_count,0.0010861008816907111
network_ttl_std_deviation,0.0010057962768902054
network_packet-size_max,0.001003681429567717
network_protocols_dst_count,0.0007903532255267544
network_ports_src_count,0.0007604634927083381
network_protocols_src_count,0.000671308047193216
network_tcp-flags-psh_count,0.0004943121530161395
network_tcp-flags-fin_count,0.0004921091575717458
network_protocols_dst_has_arp,0.0004011513038393949
network_tcp-flags-ack_count,0.0003860508354140815
network_fragmentation-score,0.00037650239910962986
network_protocols_src_has_dns,0.00034733613062367286
network_ports_dst_count,0.00030864603992245183
network_protocols_src_has_arp,0.0002565983538753961
network_ports_src_has_80,0.00025101496092726916
network_protocols_dst_has_telnet,0.00024152949935524396
network_tcp-flags_max,0.00023072340422571289
network_ports_src_has_443,0.00021311186557611725
network_protocols_src_has_tcp,0.00020293524236647596
network_protocols_dst_has_data,0.00019140742540087207
network_tcp-flags-syn_count,0.0001900287372569027
network_ports_src_has_23,0.00015685268499841188
network_protocols_src_has_data,0.00014711076891124595
network_ttl_max,0.00014483788609992164
network_mss_max,0.00013057474201249276
network_ports_src_has_6668,7.596069464865613e-05
network_tcp-flags_min,7.088251277408059e-05
network_protocols_dst_has_http,6.67622902863767e-05
network_ports_dst_has_443,5.4585549464556624e-05
network_mss_min,2.5266117093751628e-05
network_protocols_src_has_mqtt,1.648136567441905e-05
network_fragmented-packets,1.6082012681697485e-05
network_ports_dst_has_80,9.347976619932017e-06
network_protocols_src_has_telnet,1.667387808594849e-06
network_ip-flags_max,0.0
network_mss_avg,0.0
network_header-length_max,0.0
network_header-length_avg,0.0
network_header-length_std_deviation,0.0
network_header-length_min,0.0
network_payload-length_min,0.0
network_mss_std_deviation,0.0
network_tcp-flags-urg_count,0.0
network_protocols_src_has_http,0.0
network_protocols_src_has_ssh,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_lbtrm,0.0
network_protocols_dst_has_udp,0.0
network_ports_src_has_22,0.0
network_ports_src_has_9595,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_icmp,0.0
network_protocols_dst_has_tcp,0.0
network_protocols_dst_has_ssh,0.0
network_ports_src_has_8000,0.0
network_ports_src_has_554,0.0
network_ports_dst_has_9595,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_22,0.0
network_ports_dst_has_1883,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_6668,0.0
network_ports_dst_has_557,0.0
