feature,importance_micro
network_packets_dst_count,0.10981647028704891
network_macs_dst_count,0.03001237952493582
network_time-delta_avg,0.02309592607749039
network_ttl_avg,0.019889388587342093
network_time-delta_std_deviation,0.014644954791771672
network_window-size_min,0.014427791946070186
network_packets_all_count,0.013988418251609827
network_ip-length_avg,0.013755531686198636
network_tcp-flags_std_deviation,0.013640542822778283
network_packet-size_min,0.013520975237246678
network_macs_all_count,0.011926418269141826
network_ips_all_count,0.010722576563917391
network_ttl_min,0.010451769203087137
network_ip-length_std_deviation,0.008281393514434396
network_ips_dst_count,0.006095459393648241
network_time-delta_max,0.005668791110262846
network_packets_src_count,0.005416529690672275
network_ip-length_max,0.004986373026964058
network_window-size_std_deviation,0.0046642536185463645
network_ports_all_count,0.0045943895615416005
network_window-size_avg,0.0038484941879493584
network_packet-size_avg,0.0027849247891987496
network_ip-flags_avg,0.002761316467550805
network_tcp-flags_avg,0.0026704097085221176
network_interval-packets,0.0026276682517505754
network_protocols_all_count,0.0023608752404766396
network_tcp-flags-rst_count,0.002266387665725935
network_payload-length_max,0.0022125046660220575
network_ip-length_min,0.002119955121498651
network_window-size_max,0.0020580432668030435
network_time-delta_min,0.0017125840970169386
network_ports_dst_has_23,0.0014999754889645825
network_tcp-flags_max,0.0014892379545292623
network_ttl_max,0.0014875130149075442
network_ips_src_count,0.0013782370558773917
network_tcp-flags-ack_count,0.0013007338948469443
network_ports_src_has_80,0.0012455841881508804
network_packet-size_max,0.0011749766280264836
network_payload-length_std_deviation,0.001157936733702929
network_macs_src_count,0.0010791929202548648
network_ip-flags_min,0.0010261516090891848
network_payload-length_avg,0.0010177529522144477
network_packet-size_std_deviation,0.0009520222661140187
network_protocols_src_has_icmp,0.0008804060452167271
network_ip-flags_std_deviation,0.0008132962370816106
network_ports_src_has_1883,0.0007966311148106921
network_ports_src_has_6668,0.0005679138297409768
network_protocols_dst_has_data,0.000563788114217084
network_tcp-flags-fin_count,0.0004921091575717505
network_tcp-flags-psh_count,0.0004603317024714837
network_fragmentation-score,0.00037650239910962786
network_ports_dst_has_22,0.0003211998117165058
network_ports_src_count,0.0003012967023034706
network_protocols_dst_has_arp,0.0002970715742747998
network_protocols_dst_has_telnet,0.00028043735421165043
network_ports_dst_count,0.0002727194467725806
network_protocols_src_count,0.00022452767468975844
network_protocols_src_has_arp,0.00021675068231194721
network_protocols_dst_has_tcp,0.00021425846140061872
network_ports_src_has_443,0.00020598809516590084
network_protocols_dst_count,0.0001921145918513614
network_tcp-flags-syn_count,0.00016871761677348396
network_ttl_std_deviation,0.0001370422154377222
network_ports_dst_has_1883,0.00011345649821807085
network_protocols_src_has_tcp,0.00010162812089121121
network_mss_max,8.223494358022291e-05
network_tcp-flags_min,7.088251277408059e-05
network_protocols_src_has_dns,6.749281537684094e-05
network_ports_src_has_23,6.0716305485235476e-05
network_ports_dst_has_6668,4.514334541171489e-05
network_mss_min,3.651909539872526e-05
network_protocols_dst_has_http,3.082344594834785e-05
network_ports_dst_has_443,2.325085787763195e-05
network_fragmented-packets,1.6082012681699115e-05
network_ports_dst_has_80,1.5907249165045803e-06
network_protocols_src_has_mqtt,1.2375174584907857e-06
network_protocols_src_has_telnet,1.3419076147845412e-07
network_header-length_avg,0.0
network_header-length_std_deviation,0.0
network_header-length_min,0.0
network_payload-length_min,0.0
network_mss_std_deviation,0.0
network_ip-flags_max,0.0
network_mss_avg,0.0
network_header-length_max,0.0
network_protocols_src_has_ssh,0.0
network_protocols_src_has_data,0.0
network_tcp-flags-urg_count,0.0
network_protocols_src_has_http,0.0
network_ports_src_has_9595,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_icmp,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_lbtrm,0.0
network_ports_src_has_22,0.0
network_ports_src_has_557,0.0
network_ports_src_has_554,0.0
network_ports_src_has_8000,0.0
network_ports_dst_has_9595,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_557,0.0
