feature,importance_micro
network_packets_dst_count,0.050569166302725545
network_packet-size_min,0.04845498905509823
network_ip-length_avg,0.032301785513396644
network_window-size_min,0.02499157448740043
network_tcp-flags_std_deviation,0.020061830425315504
network_packets_src_count,0.016272657156423915
network_window-size_std_deviation,0.01459635738242297
network_ip-length_std_deviation,0.014490513810806842
network_ip-length_max,0.014144966208200372
network_time-delta_avg,0.012523392600272115
network_ttl_min,0.012512604417253752
network_macs_dst_count,0.011686897793549677
network_tcp-flags_avg,0.01062846750262566
network_ips_dst_count,0.008040969191377985
network_ip-length_min,0.0074144947762641794
network_window-size_max,0.0064344626968470715
network_ttl_avg,0.006281183202969665
network_ips_all_count,0.006013142163458418
network_time-delta_max,0.005947058481395451
network_interval-packets,0.005863229652340896
network_payload-length_std_deviation,0.004400747590110122
network_packet-size_avg,0.004157759947804196
network_window-size_avg,0.0035775226511357517
network_packets_all_count,0.0032519970902157294
network_payload-length_max,0.003233626740149961
network_packet-size_max,0.0025821717123102293
network_ip-flags_min,0.0025008529919497463
network_ip-flags_avg,0.00238477345974845
network_protocols_src_has_arp,0.0020234843969273416
network_protocols_dst_count,0.0018556638689243476
network_time-delta_std_deviation,0.0018491742124475575
network_tcp-flags-ack_count,0.0017910228193017729
network_ttl_max,0.001595730364070335
network_time-delta_min,0.0013448649770913727
network_ports_all_count,0.001125325455951569
network_ports_src_has_443,0.0011198902134312767
network_packet-size_std_deviation,0.0010757318301533043
network_protocols_src_has_mqtt,0.0009125899583971753
network_tcp-flags-rst_count,0.0008565248592954524
network_ports_dst_has_443,0.0008201063921147706
network_protocols_src_has_icmp,0.0007800520853730595
network_protocols_src_has_data,0.0007656843670640948
network_macs_all_count,0.0007524936131399654
network_ports_dst_count,0.0007509227794901323
network_ports_src_count,0.0005642223627677038
network_ports_src_has_80,0.0005170499648219236
network_protocols_dst_has_telnet,0.0004088109471611215
network_ports_src_has_23,0.0004001785119176829
network_protocols_src_has_tcp,0.00039855489648692394
network_ttl_std_deviation,0.00038811661551354235
network_protocols_src_has_dns,0.00038811136466602883
network_ports_src_has_1883,0.00037072300349577284
network_ip-flags_std_deviation,0.0003393800101995471
network_payload-length_avg,0.00026661809325663087
network_mss_min,0.00026001889996122993
network_tcp-flags_max,0.00025105219833963674
network_ports_src_has_6668,0.00016929435663202885
network_protocols_dst_has_arp,0.00015155285475949544
network_tcp-flags-psh_count,7.109037297844701e-05
network_mss_max,5.956743644701864e-05
network_ips_src_count,5.917173842656357e-05
network_protocols_all_count,4.571230481428068e-05
network_protocols_src_has_telnet,4.495450710332127e-05
network_ports_dst_has_80,2.5981934738698825e-05
network_protocols_src_count,2.2426987432420645e-05
network_header-length_max,0.0
network_fragmentation-score,0.0
network_fragmented-packets,0.0
network_ip-flags_max,0.0
network_header-length_avg,0.0
network_header-length_std_deviation,0.0
network_header-length_min,0.0
network_payload-length_min,0.0
network_mss_std_deviation,0.0
network_mss_avg,0.0
network_macs_src_count,0.0
network_tcp-flags-urg_count,0.0
network_tcp-flags-syn_count,0.0
network_tcp-flags-fin_count,0.0
network_tcp-flags_min,0.0
network_protocols_src_has_ssh,0.0
network_protocols_src_has_http,0.0
network_protocols_dst_has_data,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_lbtrm,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_tcp,0.0
network_ports_src_has_22,0.0
network_ports_src_has_9595,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_icmp,0.0
network_protocols_dst_has_http,0.0
network_ports_src_has_8000,0.0
network_ports_src_has_557,0.0
network_ports_src_has_554,0.0
network_ports_dst_has_9595,0.0
network_ports_dst_has_1883,0.0
network_ports_dst_has_22,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_23,0.0
network_ports_dst_has_6668,0.0
network_ports_dst_has_557,0.0
