feature,importance_micro
network_tcp-flags_std_deviation,0.09561458515446608
network_packets_dst_count,0.052682581266798936
network_ttl_min,0.03362188571421379
network_ip-length_max,0.024123941466941426
network_packet-size_min,0.022416761869893508
network_window-size_std_deviation,0.016961489859756908
network_ttl_avg,0.0164646598672476
network_window-size_min,0.01614208656971415
network_ip-length_min,0.012890329199927542
network_ip-length_std_deviation,0.009479710606107179
network_ips_dst_count,0.008576902849056886
network_tcp-flags_avg,0.007286622482418923
network_ip-length_avg,0.007159775402994167
network_payload-length_max,0.006028128904180666
network_time-delta_std_deviation,0.005812234890019758
network_time-delta_avg,0.0056536001796917736
network_protocols_src_count,0.005346202352575967
network_packets_src_count,0.005141890615805427
network_time-delta_max,0.004927904480244554
network_ip-flags_std_deviation,0.004334594504404793
network_interval-packets,0.0037207689559109166
network_ips_all_count,0.003598577328078696
network_window-size_max,0.0032074538285105326
network_ip-flags_avg,0.003193264924122479
network_packets_all_count,0.0031637758303945133
network_window-size_avg,0.003107787928849898
network_packet-size_avg,0.00310001251714988
network_tcp-flags-rst_count,0.0030726483144992646
network_ports_dst_count,0.002861659449480393
network_macs_dst_count,0.002787352497632367
network_time-delta_min,0.0027736059022484103
network_ports_all_count,0.002476714449245551
network_payload-length_std_deviation,0.0020269701051757465
network_packet-size_max,0.001959568498739325
network_tcp-flags_max,0.0018946028652640009
network_ports_src_has_443,0.0015696144653024066
network_ttl_max,0.0011581813675059305
network_protocols_src_has_icmp,0.0011021151822507569
network_tcp-flags-ack_count,0.0008281584539519893
network_ip-flags_min,0.0007956106959348813
network_protocols_dst_has_data,0.0007551955396179549
network_ttl_std_deviation,0.0006886613687903098
network_payload-length_avg,0.0006078216757332229
network_protocols_src_has_data,0.0005493719476099647
network_ports_src_has_23,0.0005328729801418623
network_ports_dst_has_443,0.0005084261348976383
network_protocols_dst_has_arp,0.00047127745747813863
network_mss_max,0.0003933051798088276
network_ips_src_count,0.0003929554590479928
network_packet-size_std_deviation,0.0003797668071976307
network_ports_src_has_80,0.00036657603248363375
network_macs_all_count,0.00034227949323094146
network_protocols_src_has_arp,0.000336875366135077
network_ports_src_has_6668,0.0003053170249609643
network_mss_min,0.00026417936170834044
network_protocols_src_has_dns,0.0002301470153784199
network_ports_dst_has_23,0.00019073593175206706
network_protocols_dst_count,0.00018974409537207617
network_ports_dst_has_22,0.00017635848885184387
network_protocols_dst_has_telnet,0.00013079562671599812
network_protocols_src_has_tcp,0.00011160020131671454
network_protocols_dst_has_tcp,0.00010989288593254737
network_protocols_dst_has_http,0.00010891451587636278
network_tcp-flags-psh_count,7.94341181756432e-05
network_ports_dst_has_80,3.692063627513387e-05
network_ports_src_count,3.6835532167599174e-05
network_ports_src_has_1883,8.872339153877433e-06
network_ports_dst_has_6668,5.336647682752343e-06
network_ports_dst_has_1883,4.139661839480052e-06
network_macs_src_count,3.932223799297103e-06
network_protocols_src_has_mqtt,1.3589466802043803e-06
network_tcp-flags-syn_count,1.1444824536441626e-06
network_protocols_src_has_telnet,1.473579936784391e-07
network_protocols_all_count,0.0
network_mss_std_deviation,0.0
network_payload-length_min,0.0
network_ip-flags_max,0.0
network_header-length_avg,0.0
network_header-length_std_deviation,0.0
network_header-length_min,0.0
network_header-length_max,0.0
network_fragmented-packets,0.0
network_fragmentation-score,0.0
network_mss_avg,0.0
network_tcp-flags-fin_count,0.0
network_protocols_src_has_http,0.0
network_tcp-flags-urg_count,0.0
network_tcp-flags_min,0.0
network_protocols_src_has_ssh,0.0
network_ports_src_has_9595,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_icmp,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_lbtrm,0.0
network_ports_src_has_22,0.0
network_ports_src_has_557,0.0
network_ports_src_has_554,0.0
network_ports_src_has_8000,0.0
network_ports_dst_has_9595,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_557,0.0
