feature,importance_micro
network_ttl_min,0.046140023432265614
network_ip-length_min,0.036205079660317434
network_packets_dst_count,0.020411400050068636
network_window-size_std_deviation,0.009895696791038688
network_ips_all_count,0.008047827823475776
network_macs_all_count,0.0067380450544554235
network_ips_dst_count,0.0038703157407315855
network_tcp-flags_std_deviation,0.003807894141787899
network_tcp-flags_avg,0.0030621320986405796
network_packets_src_count,0.002610450434662547
network_time-delta_avg,0.002156060409705889
network_time-delta_std_deviation,0.00200287203080364
network_protocols_dst_has_telnet,0.0019320424617316134
network_ip-flags_std_deviation,0.0016658597285255624
network_ports_dst_has_23,0.001609062068438789
network_time-delta_max,0.0015627717881688116
network_time-delta_min,0.0013870610239461892
network_tcp-flags-rst_count,0.0008289772014970771
network_protocols_src_has_arp,0.0007143922632381153
network_packet-size_max,0.0006436451811875567
network_protocols_src_has_dns,0.0005198919562676434
network_interval-packets,0.00037999097902710654
network_tcp-flags-ack_count,0.00028422557443265887
network_ip-length_std_deviation,0.00021155666389086517
network_mss_min,0.0
network_mss_max,0.0
network_header-length_min,0.0
network_header-length_std_deviation,0.0
network_fragmented-packets,0.0
network_header-length_avg,0.0
network_fragmentation-score,0.0
network_header-length_max,0.0
network_ip-flags_avg,0.0
network_ip-length_max,0.0
network_ips_src_count,0.0
network_macs_dst_count,0.0
network_macs_src_count,0.0
network_ip-flags_max,0.0
network_ip-length_avg,0.0
network_ip-flags_min,0.0
network_protocols_all_count,0.0
network_ports_src_count,0.0
network_ports_dst_count,0.0
network_ports_all_count,0.0
network_payload-length_std_deviation,0.0
network_payload-length_min,0.0
network_payload-length_max,0.0
network_payload-length_avg,0.0
network_packet-size_std_deviation,0.0
network_packets_all_count,0.0
network_packet-size_avg,0.0
network_packet-size_min,0.0
network_mss_std_deviation,0.0
network_mss_avg,0.0
network_tcp-flags-urg_count,0.0
network_tcp-flags-syn_count,0.0
network_tcp-flags_max,0.0
network_tcp-flags_min,0.0
network_protocols_src_count,0.0
network_protocols_dst_count,0.0
network_ttl_std_deviation,0.0
network_window-size_avg,0.0
network_ttl_max,0.0
network_ttl_avg,0.0
network_window-size_min,0.0
network_window-size_max,0.0
network_protocols_src_has_ssh,0.0
network_protocols_src_has_tcp,0.0
network_protocols_src_has_data,0.0
network_protocols_src_has_http,0.0
network_tcp-flags-psh_count,0.0
network_tcp-flags-fin_count,0.0
network_protocols_src_has_telnet,0.0
network_protocols_src_has_mqtt,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_src_has_icmp,0.0
network_protocols_dst_has_http,0.0
network_protocols_dst_has_data,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_lbtrm,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_arp,0.0
network_protocols_dst_has_icmp,0.0
network_ports_src_has_9595,0.0
network_ports_src_has_443,0.0
network_ports_src_has_1883,0.0
network_protocols_dst_has_tcp,0.0
network_ports_src_has_22,0.0
network_ports_src_has_554,0.0
network_ports_src_has_8000,0.0
network_ports_src_has_80,0.0
network_ports_src_has_6668,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_9595,0.0
network_ports_src_has_23,0.0
network_ports_dst_has_443,0.0
network_ports_dst_has_1883,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_22,0.0
network_ports_dst_has_80,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_6668,0.0
network_ports_dst_has_557,0.0
