feature,importance_micro
network_ports_src_count,1.7300031743718371
network_window-size_min,0.5767258058998285
network_payload-length_min,0.44638297973106356
network_mss_min,0.39992185730899954
network_tcp-flags-psh_count,0.387768042371162
network_fragmented-packets,0.3551042661747167
network_ports_dst_has_80,0.34443589465195573
network_ports_dst_has_23,0.3421452449966722
network_protocols_dst_has_mqtt,0.3144251198767117
network_tcp-flags-fin_count,0.23060100486620763
network_packet-size_std_deviation,0.2211983153443298
network_time-delta_std_deviation,0.22072324773002544
network_ip-flags_min,0.182746225170077
network_protocols_dst_has_arp,0.16384036538497707
network_ports_dst_has_9595,0.15848443880443724
network_protocols_src_has_icmp,0.13978936632305963
network_protocols_src_has_telnet,0.12719160507853725
network_interval-packets,0.11771452374075099
network_ports_dst_has_6668,0.11600000259475175
network_ports_dst_has_443,0.11014791248318569
network_protocols_src_has_arp,0.10636833134477294
network_ports_src_has_80,0.08792091914946668
network_protocols_src_has_dns,0.08043213360763068
network_protocols_src_has_data,0.05829680191498871
network_ports_src_has_22,0.050488533957125555
network_protocols_dst_has_data,0.04997907193700113
network_ports_dst_has_554,0.049414054816362206
network_tcp-flags-syn_count,0.04871202498962558
network_protocols_src_has_mqtt,0.04692702709167412
network_protocols_dst_has_icmp,0.04021023949282045
network_protocols_dst_has_dns,0.0372237886566134
network_protocols_dst_has_telnet,0.027070362333530416
network_time-delta_min,0.008512123084047429
network_packet-size_min,0.005965903308249616
network_ports_src_has_8000,0.00510965273267652
network_protocols_dst_has_udp,0.0032843216226326887
network_ip-flags_std_deviation,0.003205661501164603
network_protocols_dst_has_http,0.002796354026723406
network_protocols_dst_has_lbtrm,0.001694689207449522
network_tcp-flags-urg_count,0.0
network_mss_std_deviation,0.0
network_header-length_std_deviation,0.0
network_protocols_src_has_ssh,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_src_has_http,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
