feature,importance_micro
network_ports_dst_has_80,1.1934673382862768
network_ports_src_count,1.0474274221763336
network_tcp-flags-psh_count,0.9708166361449037
network_ports_src_has_80,0.8061333621596792
network_protocols_dst_has_mqtt,0.7826940588212041
network_ports_dst_has_23,0.7755656262387108
network_protocols_src_has_telnet,0.5336204674244457
network_protocols_dst_has_data,0.46348486975326986
network_ports_dst_has_443,0.4613749933108996
network_ip-flags_std_deviation,0.43861101442696776
network_ports_src_has_22,0.375817428814177
network_packet-size_min,0.3684507646010509
network_time-delta_std_deviation,0.3674445314181891
network_tcp-flags-fin_count,0.3667325899668203
network_packet-size_std_deviation,0.36512903752711984
network_protocols_dst_has_telnet,0.34656804290543297
network_tcp-flags-syn_count,0.32556330213943463
network_payload-length_min,0.29977006858310723
network_protocols_src_has_mqtt,0.28383223529385904
network_protocols_src_has_data,0.2561225320052634
network_protocols_src_has_arp,0.2520274861774443
network_fragmented-packets,0.24867787153966725
network_ip-flags_min,0.21737713926939875
network_ports_dst_has_554,0.2165802936634811
network_ports_src_has_8000,0.21437779426267237
network_protocols_dst_has_icmp,0.20569889525088378
network_interval-packets,0.1509125797181376
network_time-delta_min,0.11820398648560383
network_mss_min,0.11673596504753751
network_window-size_min,0.11455965983632521
network_protocols_src_has_dns,0.09168226271742182
network_ports_dst_has_6668,0.04386544587644842
network_ports_dst_has_9595,0.042280287641325194
network_protocols_dst_has_udp,0.029672724129183075
network_protocols_dst_has_arp,0.019010349826384606
network_protocols_dst_has_lbtrm,0.015955427040342533
network_protocols_src_has_icmp,0.011466102791022554
network_protocols_dst_has_http,0.008526071504994296
network_protocols_dst_has_dns,0.008190498483793171
network_tcp-flags-urg_count,0.0
network_mss_std_deviation,0.0
network_header-length_std_deviation,0.0
network_protocols_src_has_ssh,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_src_has_http,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
