feature,importance_micro
network_ports_src_count,2.2040835580243914
network_fragmented-packets,1.0244497774406034
network_mss_min,0.7913782552371987
network_tcp-flags-syn_count,0.7727473515744502
network_packet-size_std_deviation,0.6053036526771058
network_tcp-flags-psh_count,0.43688474581491504
network_ports_src_has_80,0.4040375503336193
network_window-size_min,0.3926451584273662
network_ip-flags_std_deviation,0.3850290416589596
network_protocols_dst_has_icmp,0.3253072259839093
network_time-delta_std_deviation,0.296332204051807
network_interval-packets,0.2944766006890777
network_ports_dst_has_80,0.27182795067267773
network_protocols_src_has_arp,0.21623276292379728
network_protocols_src_has_data,0.21502673533170727
network_ports_dst_has_23,0.21061135036038756
network_protocols_src_has_telnet,0.17703094041693518
network_protocols_src_has_dns,0.14540338898044028
network_protocols_dst_has_arp,0.12127955277865614
network_ports_src_has_8000,0.09793190999674412
network_packet-size_min,0.08275750631519294
network_ports_dst_has_6668,0.07747973743770815
network_ports_dst_has_554,0.07655249887121222
network_ports_dst_has_9595,0.07596567854580456
network_protocols_dst_has_lbtrm,0.07029969177141117
network_protocols_dst_has_data,0.069868737269422
network_ip-flags_min,0.05198541447564739
network_tcp-flags-fin_count,0.04156661669087781
network_protocols_dst_has_udp,0.03898082040531901
network_payload-length_min,0.03706808690462247
network_protocols_src_has_icmp,0.032322544027645464
network_protocols_dst_has_dns,0.030468744410248907
network_protocols_dst_has_mqtt,0.022109533436626597
network_time-delta_min,0.021665913617827607
network_protocols_src_has_mqtt,0.013892722683960225
network_ports_src_has_22,0.012985816726759088
network_protocols_dst_has_telnet,0.009943483232688797
network_ports_dst_has_443,0.003734011804148332
network_protocols_dst_has_http,0.0031700329859391013
network_tcp-flags-urg_count,0.0
network_mss_std_deviation,0.0
network_header-length_std_deviation,0.0
network_protocols_src_has_ssh,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_src_has_http,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
