feature,importance_micro
network_ports_src_count,2.1059193949819206
network_fragmented-packets,0.9829399650043662
network_mss_min,0.8413471286456341
network_tcp-flags-syn_count,0.7741921976590969
network_packet-size_min,0.6403275692183704
network_packet-size_std_deviation,0.5421888456716952
network_window-size_min,0.44467561055060534
network_tcp-flags-psh_count,0.42655410587808174
network_ports_src_has_80,0.40146251319341203
network_protocols_src_has_telnet,0.39901111923937566
network_ports_dst_has_23,0.38666606399421266
network_interval-packets,0.3347849947292721
network_protocols_src_has_arp,0.3095178204043086
network_protocols_src_has_data,0.307485021325157
network_protocols_dst_has_icmp,0.30584647565535217
network_ports_dst_has_80,0.285447266959406
network_protocols_src_has_mqtt,0.24003141748036608
network_time-delta_std_deviation,0.240022671460115
network_protocols_src_has_dns,0.1435699291501665
network_ip-flags_min,0.14115051069363538
network_ports_dst_has_6668,0.11323362894606814
network_ports_dst_has_554,0.0986201516479239
network_ip-flags_std_deviation,0.09800672947181273
network_ports_dst_has_9595,0.08672698974059699
network_protocols_dst_has_data,0.08286826689600232
network_protocols_dst_has_arp,0.08042117366046778
network_protocols_dst_has_mqtt,0.07747599144365022
network_ports_dst_has_443,0.073971918487253
network_protocols_dst_has_lbtrm,0.062433407996798224
network_time-delta_min,0.05799784174180975
network_payload-length_min,0.04794128814848248
network_protocols_src_has_icmp,0.035970110428920433
network_tcp-flags-fin_count,0.03570243786075828
network_protocols_dst_has_udp,0.03512842675716412
network_ports_src_has_8000,0.02768594048464502
network_ports_src_has_22,0.022250651758918025
network_protocols_dst_has_telnet,0.011624054418442296
network_protocols_dst_has_http,0.005051305507487952
network_protocols_dst_has_dns,0.0029505500569304865
network_tcp-flags-urg_count,0.0
network_mss_std_deviation,0.0
network_header-length_std_deviation,0.0
network_protocols_src_has_ssh,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_src_has_http,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
