feature,importance_micro
network_tcp-flags-syn_count,2.0519084486523242
network_ports_src_count,0.8684537718603732
network_window-size_min,0.6331288403856395
network_tcp-flags-psh_count,0.5351427025944264
network_protocols_dst_has_icmp,0.5121014324984152
network_tcp-flags-fin_count,0.4347568520130143
network_ports_dst_has_23,0.4145208755727514
network_ip-flags_std_deviation,0.2834275508295059
network_protocols_src_has_arp,0.27987095826722463
network_protocols_dst_has_mqtt,0.2695025498723349
network_protocols_src_has_icmp,0.244022248139552
network_time-delta_std_deviation,0.2432897549643413
network_ports_src_has_22,0.22808741945463984
network_interval-packets,0.22401252368856925
network_ports_dst_has_9595,0.21256058658595323
network_fragmented-packets,0.1949885959989204
network_ports_dst_has_80,0.16568214026394568
network_ports_src_has_80,0.15694696593908322
network_ip-flags_min,0.14402992103560042
network_protocols_src_has_mqtt,0.13938153030974765
network_protocols_src_has_telnet,0.12931408803155411
network_protocols_dst_has_data,0.12418724935674744
network_protocols_dst_has_telnet,0.11535048890495084
network_packet-size_std_deviation,0.11302372149097323
network_ports_dst_has_6668,0.10561718590832775
network_protocols_src_has_dns,0.10139680705771376
network_mss_min,0.09585460994972463
network_protocols_src_has_data,0.07652842359803116
network_ports_dst_has_443,0.07076889049740556
network_ports_dst_has_554,0.06144382459629137
network_protocols_dst_has_arp,0.05375871828627268
network_protocols_dst_has_dns,0.052413741039275576
network_protocols_dst_has_udp,0.04415801016841343
network_protocols_dst_has_lbtrm,0.03893239149639356
network_ports_src_has_8000,0.0325031117728514
network_payload-length_min,0.028519953633643822
network_time-delta_min,0.013104855870012007
network_protocols_dst_has_http,0.009490385594298895
network_packet-size_min,0.0032372023019794174
network_tcp-flags-urg_count,0.0
network_mss_std_deviation,0.0
network_header-length_std_deviation,0.0
network_protocols_src_has_ssh,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_src_has_http,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
