feature,importance_micro
network_mss_min,0.8505977014598133
network_ports_src_count,0.7334985318074966
network_window-size_min,0.6240620534556299
network_protocols_src_has_mqtt,0.5410493169915398
network_protocols_dst_has_mqtt,0.46182608412671516
network_ip-flags_min,0.4367557313133142
network_protocols_dst_has_arp,0.4270240205143665
network_packet-size_min,0.4054061144742081
network_time-delta_std_deviation,0.4019920211707473
network_packet-size_std_deviation,0.4019639589182663
network_interval-packets,0.3549476951463589
network_ports_dst_has_80,0.3184878589524561
network_tcp-flags-fin_count,0.2891768704299229
network_protocols_src_has_dns,0.2849642444322473
network_ports_src_has_80,0.27591621221996215
network_ports_dst_has_443,0.26350420266413627
network_protocols_dst_has_telnet,0.2524940897993804
network_protocols_src_has_icmp,0.24190048777819123
network_fragmented-packets,0.23134412186452147
network_protocols_src_has_telnet,0.23049433582695655
network_time-delta_min,0.19571599605349088
network_ports_dst_has_9595,0.19171415297981304
network_ports_dst_has_23,0.16867829935513912
network_tcp-flags-psh_count,0.16771298288160424
network_ports_src_has_8000,0.1590387646659676
network_tcp-flags-syn_count,0.14545894379844632
network_protocols_src_has_data,0.1389041976295398
network_ip-flags_std_deviation,0.11672170766425519
network_protocols_src_has_arp,0.11111998355755527
network_protocols_dst_has_data,0.10839957084795986
network_ports_dst_has_554,0.10584027733310561
network_ports_src_has_22,0.09274559206997955
network_payload-length_min,0.09249912906063464
network_protocols_dst_has_dns,0.09182952124880667
network_ports_dst_has_6668,0.0598908256759362
network_protocols_dst_has_udp,0.034769051220672524
network_protocols_dst_has_lbtrm,0.028892708927444697
network_protocols_dst_has_icmp,0.012466749594349832
network_protocols_dst_has_http,0.00203600549107705
network_tcp-flags-urg_count,0.0
network_mss_std_deviation,0.0
network_header-length_std_deviation,0.0
network_protocols_src_has_ssh,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_src_has_http,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
