feature,importance_micro
network_ports_src_count,6.462955842447577
network_protocols_dst_has_mqtt,2.4855799204365976
network_packet-size_min,2.1579849725440146
network_ports_dst_has_23,1.4623393476042164
network_ip-flags_min,1.3119049038711257
network_protocols_src_has_data,1.1250696067892605
network_protocols_dst_has_icmp,1.0605779951857073
network_mss_min,1.0572660517242716
network_protocols_src_has_mqtt,0.9740157311442014
network_packet-size_std_deviation,0.9583621828851367
network_payload-length_min,0.9210708337775038
network_tcp-flags-fin_count,0.8340206756488469
network_protocols_src_has_arp,0.7733290435608834
network_protocols_src_has_icmp,0.7664423953813866
network_protocols_src_has_dns,0.6846224254848781
network_window-size_min,0.6539220892593484
network_ports_src_has_80,0.6311330253281444
network_protocols_dst_has_arp,0.5758508796998432
network_fragmented-packets,0.476779093568645
network_tcp-flags-syn_count,0.4560516669673516
network_time-delta_min,0.3691340502102967
network_tcp-flags-psh_count,0.289072492795237
network_ports_src_has_22,0.21976735197190247
network_protocols_dst_has_telnet,0.19933808470987516
network_protocols_dst_has_dns,0.18998547497256316
network_ports_dst_has_443,0.17497390308601302
network_time-delta_std_deviation,0.16422371680888123
network_protocols_src_has_telnet,0.163422498436611
network_ip-flags_std_deviation,0.1184685800212198
network_protocols_dst_has_data,0.08347917056972456
network_ports_dst_has_80,0.0679742775681824
network_interval-packets,0.04411839878222131
network_ports_src_has_8000,0.0332711233470913
network_ports_dst_has_9595,0.011775236496378466
network_ports_dst_has_6668,0.011654445342729792
network_ports_dst_has_554,0.00875602736644638
network_protocols_dst_has_http,0.004669449235452988
network_protocols_dst_has_lbtrm,0.0019077990669625503
network_protocols_dst_has_udp,0.001710218939545605
network_tcp-flags-urg_count,0.0
network_mss_std_deviation,0.0
network_header-length_std_deviation,0.0
network_protocols_src_has_ssh,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_src_has_http,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
