feature,importance_micro
network_packet-size_min,0.09458811848026338
network_packets_dst_count,0.033121479057044635
network_packets_all_count,0.02775621963378145
network_ports_all_count,0.013924823684955519
network_window-size_std_deviation,0.01335066935954271
network_tcp-flags-rst_count,0.013134363961429545
network_window-size_min,0.013048694531576206
network_tcp-flags_std_deviation,0.011603094076914925
network_mss_max,0.008546000956468245
network_tcp-flags-syn_count,0.008272618634056013
network_ports_src_count,0.007772143647966152
network_time-delta_avg,0.0073147169794030185
network_mss_avg,0.0070876025246028405
network_ports_dst_has_23,0.007067506671213931
network_window-size_avg,0.007002218137382122
network_ip-length_min,0.006769004871031529
network_mss_min,0.006293706304302361
network_ip-flags_avg,0.005600383219138514
network_window-size_max,0.005590558886487642
network_ports_src_has_23,0.005381871506269002
network_time-delta_min,0.004895173297704059
network_time-delta_max,0.004556351612108774
network_ttl_std_deviation,0.004215889138516164
network_ttl_min,0.004207287467730665
network_macs_src_count,0.0039930474304768655
network_ports_dst_count,0.003631288419410538
network_macs_all_count,0.0034943708375345926
network_ips_all_count,0.0032916481134616705
network_macs_dst_count,0.002970767415289678
network_tcp-flags_avg,0.0027839347771610413
network_ip-length_avg,0.0027679790917984797
network_packet-size_std_deviation,0.002765743588844321
network_protocols_dst_count,0.002652044650860869
network_protocols_src_has_telnet,0.0026092989718676947
network_packets_src_count,0.0024262971568683846
network_payload-length_avg,0.002396943845717717
network_interval-packets,0.0023056495895239356
network_time-delta_std_deviation,0.0022881737823631574
network_ips_dst_count,0.0022558698817122793
network_ip-length_std_deviation,0.002188287051442459
network_ttl_avg,0.002103290405565388
network_header-length_min,0.002093155467968069
network_protocols_src_count,0.0019519455960985514
network_packet-size_avg,0.001834307902835341
network_ip-length_max,0.0016977892644521775
network_packet-size_max,0.0016121344022388896
network_payload-length_std_deviation,0.001587704674846776
network_tcp-flags-fin_count,0.0015476405349278313
network_ips_src_count,0.0012828785602221893
network_protocols_dst_has_tcp,0.0011368625085798134
network_protocols_src_has_tcp,0.0011112340904633868
network_ttl_max,0.00100055324199441
network_payload-length_max,0.000999728326751047
network_protocols_src_has_arp,0.0009661526212248391
network_protocols_dst_has_icmp,0.0008890806659742904
network_ports_src_has_1883,0.0008608486271488963
network_payload-length_min,0.0008574567164582612
network_protocols_all_count,0.0008452974110412203
network_protocols_dst_has_data,0.0008406918323386006
network_header-length_max,0.0008182481973602228
network_ports_dst_has_1883,0.0007982985189988168
network_ip-flags_std_deviation,0.0007626523280833612
network_tcp-flags_min,0.0006782887019820067
network_protocols_src_has_data,0.0005937218862397243
network_protocols_src_has_mqtt,0.0005772196726364647
network_protocols_src_has_dns,0.0005571747741202403
network_tcp-flags-psh_count,0.00048509833301638335
network_header-length_avg,0.00045478595442857743
network_protocols_dst_has_arp,0.00040480623303361385
network_tcp-flags_max,0.0003601793313290371
network_tcp-flags-ack_count,0.0003571757760789
network_ports_src_has_22,0.00030126569152922337
network_ip-flags_max,0.0002211574053522854
network_fragmentation-score,0.00019700225079594951
network_ports_dst_has_22,0.0001891015941860416
network_fragmented-packets,0.00013527188994794963
network_protocols_dst_has_dns,9.511824105009727e-05
network_ip-flags_min,8.29743156781485e-05
network_ports_src_has_443,7.288901218626277e-05
network_ports_dst_has_443,6.732282878493432e-05
network_protocols_dst_has_telnet,5.485607933285954e-05
network_protocols_src_has_icmp,4.267712468060288e-05
network_ports_dst_has_80,2.067035341368573e-05
network_ports_dst_has_6668,2.050472021077676e-05
network_protocols_dst_has_mqtt,1.8286444449508607e-05
network_ports_src_has_80,1.5761115264430898e-05
network_protocols_dst_has_ssh,1.0770571515095064e-05
network_ports_src_has_6668,8.948420198707369e-06
network_protocols_src_has_ssh,2.862962410994337e-06
network_mss_std_deviation,2.4234670145197692e-06
network_protocols_src_has_http,1.8927042323701314e-06
network_protocols_dst_has_http,1.3184817694490823e-06
network_ports_src_has_554,7.727050022988282e-07
network_ports_dst_has_554,7.727554689106949e-08
network_tcp-flags-urg_count,2.0650702825051977e-08
network_header-length_std_deviation,0.0
network_ports_src_has_9595,0.0
network_protocols_dst_has_lbtrm,0.0
network_protocols_dst_has_udp,0.0
network_ports_src_has_8000,0.0
network_ports_dst_has_9595,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_557,0.0
