feature,importance_micro
network_window-size_std_deviation,0.017382956166503094
network_packets_dst_count,0.011185400720756732
network_window-size_min,0.008913491609819276
network_packets_all_count,0.008489263638566042
network_time-delta_std_deviation,0.008123592948576844
network_ttl_min,0.006708496882646398
network_time-delta_avg,0.006096382902984654
network_ip-flags_avg,0.005174807919664921
network_ttl_std_deviation,0.00500129315060614
network_payload-length_avg,0.00477017800058669
network_packet-size_avg,0.004575150620905456
network_macs_all_count,0.004261057409297207
network_time-delta_max,0.004177076603866429
network_ip-length_min,0.0039443107441332614
network_ports_dst_has_23,0.003890439201621547
network_packet-size_min,0.003711629075075363
network_ports_all_count,0.0036400968273128547
network_ips_all_count,0.0034923176708794856
network_ip-length_avg,0.0034100850390927184
network_ips_dst_count,0.003288811923304402
network_protocols_src_has_telnet,0.0030858928683989025
network_ports_src_has_23,0.0030054496424090594
network_ports_src_has_22,0.002926869107286548
network_ip-flags_std_deviation,0.002401708354235786
network_ip-length_std_deviation,0.00222250442805075
network_ports_src_count,0.0021364780578453715
network_ports_dst_has_22,0.0019604425757987257
network_payload-length_max,0.001918910902064597
network_tcp-flags_std_deviation,0.0018798382250908266
network_tcp-flags-rst_count,0.001665833839646433
network_tcp-flags_avg,0.001657468926684114
network_ttl_avg,0.0016354024631993755
network_ports_dst_count,0.0015300576203042782
network_payload-length_std_deviation,0.0014866736895306377
network_window-size_avg,0.0013776738464135218
network_macs_src_count,0.0012779320667666175
network_tcp-flags-ack_count,0.0012421784054413535
network_packet-size_std_deviation,0.0011570409717869654
network_tcp-flags-syn_count,0.0010841468623556732
network_packet-size_max,0.0010729959696343743
network_ip-length_max,0.0010176512348457573
network_interval-packets,0.0009210060701908137
network_packets_src_count,0.0008898772237948179
network_macs_dst_count,0.0008735907349820596
network_time-delta_min,0.0007318875268281224
network_protocols_dst_has_icmp,0.0006778093326737533
network_mss_max,0.0005717182306642047
network_mss_avg,0.0005653462444025759
network_tcp-flags_min,0.0005220889867115139
network_window-size_max,0.0004939204675233956
network_protocols_dst_has_data,0.0004762436142025337
network_tcp-flags_max,0.00045577460596493295
network_protocols_dst_count,0.00043701530587764555
network_ttl_max,0.0004061899995911382
network_tcp-flags-fin_count,0.0003929955050424114
network_protocols_dst_has_telnet,0.00035298336227773853
network_ips_src_count,0.00034079607649402166
network_header-length_min,0.0003145958000924942
network_protocols_src_count,0.0002935162245940249
network_mss_min,0.0002828795153198624
network_tcp-flags-psh_count,0.0002613634853377935
network_protocols_src_has_tcp,0.00023403027680737109
network_header-length_max,0.00020600290365349215
network_protocols_all_count,0.0001929796551443469
network_protocols_dst_has_dns,0.00018545435943430018
network_protocols_src_has_mqtt,0.00018355787792391647
network_protocols_src_has_data,0.0001761301468472872
network_protocols_dst_has_tcp,0.0001633394039398102
network_ports_src_has_1883,0.00015659261362746874
network_protocols_src_has_arp,0.0001305039443696007
network_protocols_src_has_dns,0.00012468451386776972
network_header-length_avg,0.0001192212742359573
network_protocols_dst_has_ssh,0.00011282911956849932
network_payload-length_min,0.00010735665066948627
network_ports_dst_has_80,8.823571361476221e-05
network_ports_dst_has_443,8.136539617270725e-05
network_ip-flags_min,8.078258555985196e-05
network_ip-flags_max,7.606040097050344e-05
network_protocols_src_has_icmp,7.358571577541079e-05
network_protocols_dst_has_mqtt,6.872759059089454e-05
network_ports_src_has_80,6.344310806703009e-05
network_ports_src_has_554,5.9640658433596144e-05
network_ports_dst_has_1883,5.022777244297689e-05
network_protocols_dst_has_arp,4.906096536342058e-05
network_fragmentation-score,4.603551187132996e-05
network_ports_dst_has_554,4.158108767436446e-05
network_fragmented-packets,3.5470885588787054e-05
network_ports_src_has_443,3.409772717109128e-05
network_protocols_src_has_ssh,9.135381746111223e-06
network_ports_src_has_6668,5.999642292458988e-06
network_ports_dst_has_6668,5.333915683344662e-06
network_protocols_dst_has_http,4.616655194158683e-06
network_ports_dst_has_8000,4.253954363487797e-06
network_ports_src_has_8000,2.1407281681679503e-06
network_header-length_std_deviation,6.458333943138109e-07
network_mss_std_deviation,1.5047465165108922e-07
network_protocols_src_has_http,6.287459153108739e-08
network_tcp-flags-urg_count,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_lbtrm,0.0
network_ports_src_has_9595,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_9595,0.0
network_ports_dst_has_557,0.0
