feature,importance_micro
network_packets_dst_count,0.03779518347188858
network_packets_all_count,0.02292906893939632
network_ports_all_count,0.021108850283814647
network_macs_src_count,0.01751134505635607
network_packet-size_min,0.016445362498500822
network_time-delta_std_deviation,0.015834229941372766
network_time-delta_avg,0.014989345676426952
network_macs_dst_count,0.013673025815634796
network_macs_all_count,0.012443227600267994
network_interval-packets,0.009642717337487281
network_ttl_min,0.008698424130311211
network_ports_src_count,0.007040182397647879
network_ips_all_count,0.0068484767126762965
network_ips_src_count,0.0043003188685918105
network_window-size_std_deviation,0.004054783959392855
network_window-size_min,0.003899752278890183
network_ttl_std_deviation,0.003657728200966259
network_ip-length_avg,0.003558052556198846
network_ip-length_min,0.003222134181137599
network_ports_dst_has_23,0.0028559545196220086
network_ttl_avg,0.002722575751859707
network_tcp-flags_std_deviation,0.002383833384106431
network_ports_src_has_23,0.002104467584674694
network_window-size_avg,0.0020266963421332763
network_tcp-flags-rst_count,0.0020191856932860602
network_time-delta_max,0.0019571492370891877
network_ip-flags_avg,0.0017575444290391107
network_tcp-flags-ack_count,0.0016155850353721016
network_ips_dst_count,0.0015413275881580601
network_packets_src_count,0.0015111143478368462
network_packet-size_avg,0.001470046694762922
network_window-size_max,0.0013577117666348896
network_tcp-flags-syn_count,0.0013543466696447652
network_packet-size_std_deviation,0.0013479773654995633
network_tcp-flags_avg,0.0013345904567104395
network_protocols_dst_has_icmp,0.0013122396470773652
network_time-delta_min,0.0012176758986902575
network_protocols_src_has_telnet,0.0011483640983647014
network_mss_max,0.0010025348551878
network_protocols_src_count,0.0009993469147745303
network_mss_min,0.0009732333283141314
network_mss_avg,0.0009639204807268314
network_packet-size_max,0.0009249252837297121
network_ip-flags_std_deviation,0.0009038218206284441
network_payload-length_avg,0.0008772269426541801
network_payload-length_std_deviation,0.0008500726328871309
network_ip-length_max,0.0008026288273452643
network_ports_dst_count,0.0007856495261016865
network_protocols_dst_count,0.0007078430756530537
network_ip-length_std_deviation,0.0006468780321992233
network_tcp-flags-psh_count,0.000516839053430084
network_tcp-flags_min,0.000508021764801322
network_ports_src_has_1883,0.0004920215207114099
network_header-length_min,0.0004464770760262743
network_protocols_all_count,0.0004201142047231331
network_payload-length_max,0.00040370343076971904
network_ports_src_has_22,0.00038184952799913657
network_protocols_dst_has_data,0.00037303175439596303
network_protocols_src_has_arp,0.00036964005430667707
network_ports_dst_has_22,0.0003286682138712228
network_fragmented-packets,0.0003217984469265233
network_payload-length_min,0.0003190893496592269
network_tcp-flags_max,0.0003189614697987934
network_fragmentation-score,0.00031614362636945106
network_ttl_max,0.0002899488259938057
network_tcp-flags-fin_count,0.00028406308628353574
network_ports_dst_has_1883,0.0002780908834534582
network_protocols_src_has_tcp,0.0002721364134549249
network_protocols_src_has_dns,0.00022824734136455096
network_protocols_src_has_data,0.00018993816719659214
network_protocols_dst_has_tcp,0.0001756139235878788
network_protocols_dst_has_arp,0.0001754852467548031
network_header-length_max,0.0001668899452203344
network_protocols_src_has_icmp,0.00015449868577543143
network_ip-flags_max,0.00015025219858644603
network_ports_dst_has_9595,0.00014946881484816237
network_ports_src_has_6668,0.00014741094010504
network_ports_src_has_80,0.00013792840188503675
network_ip-flags_min,0.00013612883886566154
network_ports_src_has_443,0.00010141690389719957
network_ports_dst_has_6668,9.63573713768673e-05
network_ports_dst_has_80,8.483593501220473e-05
network_header-length_avg,7.740726603750623e-05
network_protocols_src_has_mqtt,7.610295232611517e-05
network_ports_src_has_8000,7.024988334928545e-05
network_protocols_dst_has_telnet,6.774835823171422e-05
network_ports_dst_has_443,6.525453938256098e-05
network_protocols_dst_has_mqtt,5.928056634429369e-05
network_protocols_dst_has_dns,3.874956898872559e-05
network_ports_src_has_9595,2.226307028774292e-05
network_ports_src_has_554,1.8164708288664875e-05
network_protocols_dst_has_ssh,1.7555731655943053e-05
network_ports_dst_has_8000,1.572221470462891e-05
network_ports_dst_has_554,1.2589040158576465e-05
network_protocols_dst_has_http,1.1190158480835119e-05
network_protocols_src_has_http,2.641092382597656e-06
network_tcp-flags-urg_count,1.2895374487531815e-06
network_ports_dst_has_557,7.464763356834023e-07
network_protocols_dst_has_lbtrm,5.745728378753262e-07
network_protocols_src_has_ssh,1.812270252501176e-07
network_mss_std_deviation,1.0513221671622858e-07
network_header-length_std_deviation,0.0
network_protocols_dst_has_udp,0.0
network_ports_src_has_557,0.0
