feature,importance_micro
network_packets_dst_count,0.04197389478213488
network_packets_all_count,0.03890517212623561
network_ports_all_count,0.0185582353073861
network_time-delta_std_deviation,0.01439454942404215
network_packet-size_min,0.011334325503927082
network_macs_src_count,0.011280914542439248
network_time-delta_avg,0.00972170296821141
network_macs_dst_count,0.00874016061892318
network_macs_all_count,0.00817151258900802
network_ports_src_count,0.007230552625660344
network_ttl_min,0.006634990877312829
network_interval-packets,0.006031552349271225
network_ips_all_count,0.004974442243444689
network_ip-length_avg,0.0049275331962444924
network_ip-length_min,0.0042483263539646356
network_ttl_std_deviation,0.004035252818793451
network_ips_src_count,0.0034926486935886025
network_window-size_std_deviation,0.003478871687095927
network_window-size_min,0.003204356847213878
network_tcp-flags-rst_count,0.002999385346853793
network_tcp-flags_std_deviation,0.002692823922831743
network_ttl_avg,0.002692128237858391
network_packets_src_count,0.0020884437454374264
network_ports_dst_has_23,0.0020616643416537005
network_time-delta_max,0.001829472321932432
network_protocols_dst_has_icmp,0.0018259603578045772
network_ports_src_has_23,0.0016609395431829393
network_ip-length_max,0.001660891579148844
network_window-size_avg,0.0016365726196700113
network_tcp-flags-syn_count,0.0015478572672082713
network_mss_max,0.0014450254730882877
network_mss_min,0.0013701284856915505
network_ports_dst_count,0.0012999926457157975
network_mss_avg,0.001265504062211471
network_protocols_src_has_telnet,0.00106935511693061
network_payload-length_avg,0.0010676334220378523
network_ips_dst_count,0.0010544914658834395
network_packet-size_avg,0.0010066971513280534
network_ip-flags_avg,0.0010003971640236363
network_packet-size_max,0.0009947812742051594
network_protocols_dst_count,0.0009182370113688413
network_tcp-flags-ack_count,0.0008553764289154466
network_time-delta_min,0.0008381728612683994
network_tcp-flags_avg,0.000739340844275855
network_payload-length_std_deviation,0.0007380466350091458
network_packet-size_std_deviation,0.0006919921590063219
network_protocols_src_has_icmp,0.0006613356252441969
network_payload-length_max,0.0006423161136646451
network_fragmentation-score,0.0006015806601415407
network_tcp-flags-psh_count,0.0005671438105158219
network_protocols_src_count,0.0005653650781439259
network_ip-flags_std_deviation,0.000540303072313069
network_window-size_max,0.0005362998947672065
network_protocols_dst_has_data,0.0005293168360626972
network_ip-length_std_deviation,0.0005229281347355622
network_protocols_src_has_arp,0.0005048316260741515
network_tcp-flags_min,0.0004558313537080302
network_tcp-flags_max,0.000386242011747912
network_tcp-flags-fin_count,0.0003600715458236091
network_fragmented-packets,0.00032295738107488407
network_protocols_all_count,0.00031774222600814637
network_protocols_src_has_mqtt,0.0003174748185541365
network_ports_src_has_22,0.0002970798981991994
network_protocols_src_has_data,0.0002919403847886582
network_protocols_dst_has_tcp,0.0002845346065831473
network_ttl_max,0.0002785810417708112
network_ports_dst_has_1883,0.0002773404664553731
network_protocols_src_has_tcp,0.0002766299483874443
network_ports_dst_has_22,0.00026543198523203197
network_payload-length_min,0.00025645012095139774
network_ports_src_has_1883,0.00021486053728397966
network_header-length_min,0.00019720025263747322
network_ports_src_has_8000,0.00017570424267440178
network_protocols_dst_has_arp,0.00016221474491600303
network_ports_src_has_6668,0.00013644412524995605
network_protocols_src_has_dns,0.00012123525321745314
network_ports_dst_has_9595,0.00011532551366696184
network_ports_dst_has_6668,0.00011207740264193476
network_ip-flags_min,0.00011052108321449028
network_ip-flags_max,0.00010811097926318853
network_protocols_dst_has_mqtt,9.74520904577096e-05
network_header-length_max,8.282566545468007e-05
network_header-length_avg,7.094562011049082e-05
network_ports_src_has_80,6.309344462938848e-05
network_ports_src_has_554,6.126974969246398e-05
network_ports_src_has_9595,5.743723652071558e-05
network_ports_dst_has_554,3.839949367971546e-05
network_ports_src_has_443,3.616141755224823e-05
network_ports_dst_has_80,3.466611816301648e-05
network_ports_dst_has_8000,3.3907721380224706e-05
network_protocols_dst_has_telnet,3.306595616503306e-05
network_ports_dst_has_443,3.19507613141093e-05
network_protocols_dst_has_dns,2.9823715087650774e-05
network_protocols_dst_has_http,1.3304300621257818e-05
network_protocols_dst_has_ssh,1.1345015301525227e-05
network_tcp-flags-urg_count,1.15915803704146e-06
network_mss_std_deviation,1.0199000971754504e-06
network_protocols_src_has_http,9.312777976631855e-07
network_protocols_dst_has_lbtrm,5.745728378753163e-07
network_header-length_std_deviation,5.604786968937512e-07
network_protocols_src_has_ssh,1.7269498981176087e-07
network_protocols_dst_has_udp,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
