feature,importance_micro
network_packet-size_min,0.031531533663152096
network_packets_dst_count,0.0179237985866467
network_packets_all_count,0.014146161723346245
network_window-size_min,0.012800449821683366
network_ip-length_min,0.01142481271425493
network_ports_all_count,0.010568809583087445
network_ip-length_avg,0.01022431738520885
network_window-size_std_deviation,0.008396839775580396
network_window-size_max,0.00766022144612104
network_window-size_avg,0.006258355553398252
network_interval-packets,0.006135879307062138
network_ports_src_count,0.005990961034079532
network_time-delta_avg,0.00595826096442383
network_protocols_dst_has_icmp,0.005868375908249775
network_tcp-flags-rst_count,0.005682357850790066
network_time-delta_std_deviation,0.005215009935931333
network_macs_all_count,0.005059206064417138
network_ports_dst_has_23,0.004597679356861721
network_tcp-flags-syn_count,0.003971052791219586
network_tcp-flags_avg,0.003952476638825218
network_ports_src_has_23,0.003862428280710066
network_tcp-flags_std_deviation,0.003796018685718232
network_ttl_std_deviation,0.003414251009292113
network_mss_max,0.003319628263793643
network_mss_min,0.0031027899204184527
network_ip-flags_avg,0.0029904270746822616
network_ports_dst_count,0.002827542227786663
network_packets_src_count,0.0028186711989913256
network_protocols_dst_count,0.002796610506130303
network_mss_avg,0.0027313265254998945
network_payload-length_std_deviation,0.0026281149454779
network_time-delta_max,0.0023198214428789177
network_macs_src_count,0.002285427487644402
network_ips_all_count,0.0022773552041444258
network_ip-length_max,0.002234632274282339
network_time-delta_min,0.0021438366447920484
network_tcp-flags_min,0.0020121619835790725
network_ip-length_std_deviation,0.0019965132879114222
network_ttl_min,0.0019736521545503636
network_protocols_src_has_telnet,0.0016837757961629758
network_ttl_avg,0.0016810354411066649
network_payload-length_avg,0.0016731676698649959
network_packet-size_avg,0.001594498010762991
network_macs_dst_count,0.0015251246965593472
network_packet-size_max,0.0013315090970044058
network_packet-size_std_deviation,0.0013134506361724048
network_protocols_src_count,0.0012739250990108654
network_ips_dst_count,0.001228863751436504
network_ip-flags_std_deviation,0.0012165311272324905
network_ips_src_count,0.0010302173813580937
network_protocols_src_has_mqtt,0.0009570528910111558
network_payload-length_max,0.0008911516931117976
network_tcp-flags-psh_count,0.0008823696816998659
network_ports_src_has_1883,0.0008702916313837866
network_payload-length_min,0.0007966149584505091
network_ports_dst_has_1883,0.0007882196375637324
network_protocols_src_has_icmp,0.0006883068890725013
network_tcp-flags-fin_count,0.0006418206181542724
network_protocols_dst_has_arp,0.0006340257383927158
network_protocols_dst_has_data,0.0005605143721968252
network_protocols_dst_has_tcp,0.0005597891264855555
network_protocols_all_count,0.000491013703655948
network_ports_src_has_22,0.00047931218127737107
network_protocols_src_has_arp,0.00047621942746612326
network_protocols_src_has_dns,0.00045534348462105404
network_header-length_min,0.0004544431404985706
network_ttl_max,0.00037767952849375913
network_protocols_src_has_tcp,0.0003676818148054036
network_ports_dst_has_22,0.0003323217287195536
network_tcp-flags-ack_count,0.0003094808913208826
network_ip-flags_min,0.0002479397811326795
network_protocols_src_has_data,0.00024030847669355277
network_tcp-flags_max,0.0002091911178330103
network_ports_src_has_443,0.00020209886407053268
network_header-length_max,0.00017499315591222396
network_fragmentation-score,0.00017001474184116992
network_protocols_dst_has_telnet,0.00014139175884040099
network_ports_dst_has_443,0.00014127273653071406
network_fragmented-packets,0.00013726755657749516
network_header-length_avg,0.00013626264946458352
network_ip-flags_max,8.779226018311898e-05
network_protocols_dst_has_dns,7.475969246426042e-05
network_protocols_dst_has_mqtt,4.446291660908776e-05
network_ports_src_has_80,3.3194317665876935e-05
network_ports_src_has_6668,1.4638158039714122e-05
network_ports_dst_has_6668,9.189340424905887e-06
network_ports_dst_has_80,6.187895952397695e-06
network_protocols_dst_has_ssh,5.943818690924242e-06
network_mss_std_deviation,5.719745401421296e-06
network_protocols_dst_has_http,4.335947647961134e-06
network_ports_src_has_554,2.74960741646589e-06
network_ports_src_has_8000,1.5183683565115214e-06
network_protocols_src_has_http,1.4787853206224462e-06
network_header-length_std_deviation,1.206312091207569e-06
network_ports_src_has_9595,1.1193089708723245e-06
network_protocols_src_has_ssh,5.678344812002163e-07
network_ports_dst_has_554,2.4601638376633933e-07
network_tcp-flags-urg_count,2.034660676277931e-07
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_lbtrm,0.0
network_ports_dst_has_9595,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_557,0.0
