feature,importance_micro
network_ttl_min,0.022106288291072456
network_packets_dst_count,0.021027541004914826
network_tcp-flags-rst_count,0.01860246077737599
network_tcp-flags_std_deviation,0.017959366115824542
network_packets_all_count,0.016628295773050153
network_window-size_min,0.014650563217509157
network_window-size_avg,0.012196371283048154
network_packet-size_min,0.012061955409043666
network_tcp-flags-syn_count,0.010986978282928854
network_mss_max,0.010097153512941378
network_ip-flags_avg,0.009827574524850126
network_mss_avg,0.008813690190127498
network_mss_min,0.008065766191832326
network_ttl_std_deviation,0.007485973566883517
network_ports_all_count,0.007348118433098478
network_ip-length_avg,0.005481368017033871
network_ip-flags_std_deviation,0.005388849199529857
network_window-size_std_deviation,0.005087826903006207
network_time-delta_avg,0.004206805393885388
network_ttl_avg,0.004112726669274943
network_ip-length_min,0.003526816844574355
network_time-delta_max,0.0033068614071341987
network_time-delta_std_deviation,0.0030878944717810347
network_packet-size_avg,0.0029673091168331196
network_interval-packets,0.0028433001692555982
network_ports_dst_has_23,0.0026522912872395414
network_time-delta_min,0.002603237431504182
network_macs_all_count,0.0025715994034890867
network_payload-length_avg,0.002559338263209259
network_ports_src_count,0.002421643825009143
network_ips_all_count,0.002389091282995328
network_macs_src_count,0.002342114955985167
network_ports_dst_count,0.0023235005367086307
network_protocols_dst_count,0.002225522795684365
network_ports_src_has_23,0.0022062357602792935
network_tcp-flags_avg,0.00204342855293522
network_macs_dst_count,0.00194882647616939
network_protocols_src_has_telnet,0.0019430901160798493
network_packets_src_count,0.001853645425304764
network_window-size_max,0.0014903467527069675
network_ips_dst_count,0.001207076198133585
network_ip-length_max,0.0011869987429758084
network_packet-size_max,0.0011821328250044762
network_header-length_min,0.001007015578261597
network_ip-length_std_deviation,0.0010062259060270866
network_payload-length_std_deviation,0.0009487692948325179
network_payload-length_max,0.0009374888535397186
network_protocols_src_has_tcp,0.0008853758338898524
network_tcp-flags_max,0.0008835824655085456
network_protocols_src_has_data,0.0008371283047588318
network_packet-size_std_deviation,0.0008316151119717595
network_tcp-flags_min,0.0007228749032284744
network_protocols_src_count,0.0006816296033802456
network_protocols_dst_has_icmp,0.0006549697898009171
network_ttl_max,0.000650517221057179
network_ips_src_count,0.0006113685913479883
network_tcp-flags-ack_count,0.0005887318485369257
network_protocols_dst_has_arp,0.0005618124227186287
network_ports_src_has_443,0.0005346524257953384
network_protocols_src_has_arp,0.0005272875363290267
network_tcp-flags-fin_count,0.0005098996220079328
network_protocols_all_count,0.0005056287881499183
network_ports_src_has_1883,0.0004859041115864316
network_ports_dst_has_443,0.00046749785134473493
network_ports_src_has_22,0.00044317821793128523
network_protocols_src_has_dns,0.00042567782663133983
network_ports_src_has_6668,0.0004250599778162114
network_protocols_dst_has_tcp,0.000424425059923267
network_ip-flags_min,0.00042214731107074067
network_protocols_dst_has_data,0.000408122445175216
network_payload-length_min,0.0004019164384300185
network_protocols_src_has_mqtt,0.0003975380773242663
network_header-length_max,0.00039483515827806655
network_tcp-flags-psh_count,0.0003737564995304508
network_ports_dst_has_9595,0.00033415770014315013
network_ports_dst_has_22,0.00029087937606736097
network_ports_dst_has_1883,0.00025356419419028783
network_ports_src_has_8000,0.0002474724943801987
network_header-length_avg,0.00023275140001152004
network_ports_src_has_554,0.000216654110188666
network_ports_dst_has_554,0.0002112880664363232
network_ports_dst_has_6668,0.00018598406785047062
network_ports_src_has_80,0.00016028225963010722
network_ports_dst_has_80,0.00014634594568807503
network_ip-flags_max,0.0001332553346104422
network_protocols_dst_has_telnet,0.000123046681380199
network_fragmentation-score,0.00010714928467315208
network_protocols_src_has_icmp,9.255105565624054e-05
network_ports_src_has_9595,8.442508086220415e-05
network_fragmented-packets,8.271621293439744e-05
network_protocols_dst_has_dns,6.354087332879122e-05
network_ports_dst_has_8000,6.105147933911847e-05
network_protocols_dst_has_mqtt,1.9682173052467906e-05
network_protocols_dst_has_ssh,1.6567240170289847e-05
network_mss_std_deviation,7.70935517251646e-06
network_tcp-flags-urg_count,4.558134688411794e-06
network_protocols_src_has_http,1.7994740838106793e-06
network_protocols_dst_has_http,3.3633430373261196e-07
network_protocols_src_has_ssh,1.727694319134763e-07
network_header-length_std_deviation,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_lbtrm,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_557,0.0
