feature,importance_micro
network_ip-length_min,0.01585996089056275
network_ttl_min,0.012326357962870895
network_macs_all_count,0.009996724137196681
network_packets_dst_count,0.007953354516708906
network_tcp-flags_avg,0.006182384655090454
network_packets_all_count,0.0056820183535910345
network_ttl_std_deviation,0.004570601239631726
network_ips_all_count,0.004447692703917263
network_packet-size_avg,0.004398110409237517
network_packet-size_min,0.004106431634830634
network_payload-length_avg,0.00400890915285216
network_ports_dst_has_23,0.0040006920451041835
network_macs_src_count,0.0038055429756563264
network_ports_all_count,0.0037461044297190165
network_ip-flags_avg,0.0035481315660713096
network_ports_src_has_23,0.0027411378776585884
network_ip-length_avg,0.002616102037792789
network_tcp-flags-fin_count,0.0025080133761185472
network_ips_dst_count,0.0022571835637262257
network_time-delta_avg,0.0021881703202661197
network_macs_dst_count,0.0021773090174997786
network_tcp-flags_min,0.002123583953102561
network_ports_src_count,0.001681388435359411
network_protocols_src_has_telnet,0.001492966253924132
network_protocols_src_has_dns,0.0013516966595420897
network_tcp-flags_std_deviation,0.0013167593017715433
network_tcp-flags-rst_count,0.0013067526989293213
network_ttl_avg,0.0013025477538426496
network_payload-length_max,0.0011931497451498011
network_ip-flags_std_deviation,0.0010545785590465701
network_ip-length_max,0.0009715490506193808
network_tcp-flags-psh_count,0.0009370422712230155
network_ip-length_std_deviation,0.000936229031529936
network_interval-packets,0.0009217103977677471
network_time-delta_std_deviation,0.0008840961671796122
network_payload-length_std_deviation,0.0008607873972958539
network_ttl_max,0.0008426875073398604
network_tcp-flags-syn_count,0.0007681325482899923
network_ports_dst_count,0.0007644473176800545
network_protocols_dst_has_data,0.0007210687078273668
network_protocols_src_count,0.0006981660962076365
network_ports_src_has_1883,0.0006202628135279584
network_window-size_max,0.0006100359436211619
network_ips_src_count,0.000576476308218993
network_window-size_std_deviation,0.0005565969348862563
network_packet-size_std_deviation,0.0005263843157919943
network_window-size_min,0.0005231912424675499
network_window-size_avg,0.0004984557119248645
network_protocols_all_count,0.00045780258899936165
network_tcp-flags_max,0.0004558494590627186
network_ports_src_has_22,0.0004519246618466225
network_tcp-flags-ack_count,0.00043957850811162546
network_protocols_dst_count,0.00042391553075570823
network_protocols_src_has_data,0.0003975520146946543
network_packets_src_count,0.0003929031705416739
network_packet-size_max,0.00038292281131117585
network_time-delta_min,0.00034402800788024455
network_mss_avg,0.0003151628390244443
network_time-delta_max,0.0002683995462490266
network_ports_dst_has_1883,0.0002581750786577962
network_mss_max,0.0002325203197413559
network_protocols_dst_has_icmp,0.00020309163522643298
network_payload-length_min,0.00015405611151246616
network_protocols_src_has_tcp,0.0001263630366432921
network_protocols_dst_has_tcp,0.0001227850928802114
network_ports_dst_has_22,0.00011620986084650082
network_protocols_dst_has_telnet,0.00010373967516712225
network_header-length_max,6.905343678868244e-05
network_ports_src_has_80,6.697608706026636e-05
network_header-length_min,6.09293476605086e-05
network_header-length_avg,5.8301666497126955e-05
network_fragmentation-score,5.3809631337413886e-05
network_ip-flags_max,5.2262104673706255e-05
network_ip-flags_min,4.851935442755025e-05
network_mss_min,3.759820705934278e-05
network_ports_dst_has_80,3.7113266171579496e-05
network_protocols_dst_has_arp,3.487383589768091e-05
network_protocols_src_has_icmp,2.9751229296011174e-05
network_protocols_src_has_arp,2.9748512149777158e-05
network_protocols_src_has_mqtt,2.369135203757695e-05
network_protocols_dst_has_ssh,1.4079982541709227e-05
network_fragmented-packets,1.3614895923935762e-05
network_protocols_src_has_http,9.716005464670063e-06
network_protocols_dst_has_dns,3.123744414982451e-06
network_mss_std_deviation,2.6542325960164994e-06
network_ports_dst_has_6668,1.9888390350992936e-06
network_protocols_src_has_ssh,1.7132652772402148e-06
network_protocols_dst_has_http,1.4053892543971711e-06
network_ports_dst_has_443,1.2832864249336011e-06
network_protocols_dst_has_mqtt,1.0957583484068054e-06
network_ports_src_has_443,3.375530000049466e-07
network_ports_src_has_6668,5.171038353895394e-09
network_header-length_std_deviation,0.0
network_tcp-flags-urg_count,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_lbtrm,0.0
network_ports_src_has_9595,0.0
network_ports_src_has_557,0.0
network_ports_src_has_554,0.0
network_ports_src_has_8000,0.0
network_ports_dst_has_9595,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_8000,0.0
network_ports_dst_has_557,0.0
