feature,importance,Modelo,Classe
network_header-length_min,0.0029200765333902,decision_tree,benign
network_packets_all_count,0.0029200765333902,decision_tree,benign
network_ports_src_count,0.0003228718625448,decision_tree,benign
network_ip-flags_min,0.0001562942160419,decision_tree,benign
network_fragmented-packets,0.0001335803160242,decision_tree,benign
network_header-length_avg,0.0001129158965836,decision_tree_multi,benign
network_header-length_max,0.0001129158965836,decision_tree_multi,benign
network_fragmented-packets,0.0,decision_tree_multi,benign
network_fragmentation-score,0.0,decision_tree_multi,benign
network_header-length_min,0.0,decision_tree_multi,benign
network_header-length_max,1.7752784803807264e-05,decision_tree_multi,bruteforce
network_header-length_avg,1.7752784803805465e-05,decision_tree_multi,bruteforce
network_fragmented-packets,0.0,decision_tree_multi,bruteforce
network_fragmentation-score,0.0,decision_tree_multi,bruteforce
network_header-length_min,0.0,decision_tree_multi,bruteforce
network_fragmentation-score,0.0,decision_tree_multi,ddos
network_fragmented-packets,0.0,decision_tree_multi,ddos
network_header-length_avg,0.0,decision_tree_multi,ddos
network_header-length_max,0.0,decision_tree_multi,ddos
network_header-length_min,0.0,decision_tree_multi,ddos
network_fragmentation-score,0.0,decision_tree_multi,dos
network_fragmented-packets,0.0,decision_tree_multi,dos
network_header-length_avg,0.0,decision_tree_multi,dos
network_header-length_max,0.0,decision_tree_multi,dos
network_header-length_min,0.0,decision_tree_multi,dos
network_fragmentation-score,0.0,decision_tree_multi,malware
network_fragmented-packets,0.0,decision_tree_multi,malware
network_header-length_avg,0.0,decision_tree_multi,malware
network_header-length_max,0.0,decision_tree_multi,malware
network_header-length_min,0.0,decision_tree_multi,malware
network_fragmentation-score,0.0,decision_tree_multi,mitm
network_fragmented-packets,0.0,decision_tree_multi,mitm
network_header-length_avg,0.0,decision_tree_multi,mitm
network_header-length_max,0.0,decision_tree_multi,mitm
network_header-length_min,0.0,decision_tree_multi,mitm
network_interval-packets,0.0038949904977463,decision_tree_multi,recon
network_fragmented-packets,0.0033718737710757,decision_tree_multi,recon
network_header-length_min,0.0025943464938821,decision_tree_multi,recon
network_header-length_std_deviation,0.0023016572141923,decision_tree_multi,recon
network_header-length_avg,0.0017462951814789,decision_tree_multi,recon
network_fragmented-packets,0.0016864170003488,decision_tree_multi,web
network_interval-packets,0.001209211915832,decision_tree_multi,web
network_header-length_min,0.0009402249551792,decision_tree_multi,web
network_header-length_max,0.0008734924304556,decision_tree_multi,web
network_header-length_std_deviation,0.0007774442561326,decision_tree_multi,web
network_fragmented-packets,0.0,logistic_regression,benign
network_header-length_std_deviation,0.0,logistic_regression,benign
network_interval-packets,0.0,logistic_regression,benign
network_ip-flags_min,0.0,logistic_regression,benign
network_ip-flags_std_deviation,0.0,logistic_regression,benign
network_fragmented-packets,0.0,logistic_regression_multi,benign
network_header-length_std_deviation,0.0,logistic_regression_multi,benign
network_interval-packets,0.0,logistic_regression_multi,benign
network_ip-flags_min,0.0,logistic_regression_multi,benign
network_ip-flags_std_deviation,0.0,logistic_regression_multi,benign
network_fragmented-packets,0.0,logistic_regression_multi,bruteforce
network_header-length_std_deviation,0.0,logistic_regression_multi,bruteforce
network_interval-packets,0.0,logistic_regression_multi,bruteforce
network_ip-flags_min,0.0,logistic_regression_multi,bruteforce
network_ip-flags_std_deviation,0.0,logistic_regression_multi,bruteforce
network_mss_std_deviation,0.0256557694845001,logistic_regression_multi,ddos
network_ip-flags_min,0.0241984009731409,logistic_regression_multi,ddos
network_interval-packets,0.0212848932086823,logistic_regression_multi,ddos
network_mss_min,0.0161917199293976,logistic_regression_multi,ddos
network_header-length_std_deviation,0.0109080250710271,logistic_regression_multi,ddos
network_packet-size_min,0.9163445819290732,logistic_regression_multi,dos
network_mss_std_deviation,0.3050668892497262,logistic_regression_multi,dos
network_header-length_std_deviation,0.1518344532572328,logistic_regression_multi,dos
network_fragmented-packets,0.1276453139312608,logistic_regression_multi,dos
network_mss_min,0.1006025950411495,logistic_regression_multi,dos
network_header-length_std_deviation,0.2689329862527336,logistic_regression_multi,malware
network_interval-packets,0.2360793654547258,logistic_regression_multi,malware
network_mss_min,0.1737827257495131,logistic_regression_multi,malware
network_ip-flags_std_deviation,0.1456493715970906,logistic_regression_multi,malware
network_packet-size_min,0.0726386432494219,logistic_regression_multi,malware
network_packet-size_min,0.0731533854605495,logistic_regression_multi,mitm
network_mss_std_deviation,0.058853778029917,logistic_regression_multi,mitm
network_ip-flags_min,0.0582137208582119,logistic_regression_multi,mitm
network_interval-packets,0.0547563202810199,logistic_regression_multi,mitm
network_fragmented-packets,0.0276710273011336,logistic_regression_multi,mitm
network_header-length_std_deviation,0.6109042964281205,logistic_regression_multi,recon
network_packet-size_min,0.3488709857808783,logistic_regression_multi,recon
network_fragmented-packets,0.2342090718695927,logistic_regression_multi,recon
network_ip-flags_std_deviation,0.1762379776591066,logistic_regression_multi,recon
network_mss_min,0.1053391256298892,logistic_regression_multi,recon
network_packet-size_min,1.4600249095512852,logistic_regression_multi,web
