feature,importance,Modelo
network_fragmentation-score,8.181486797442375e-05,DECISION_TREE
network_fragmented-packets,9.776065480645695e-05,DECISION_TREE
network_header-length_avg,3.436467023010374e-06,DECISION_TREE
network_header-length_max,1.0016188235013889e-21,DECISION_TREE
network_header-length_min,1.0661869665351593e-21,DECISION_TREE
network_fragmentation-score,5.340758708718325e-05,DECISION_TREE_MULTI
network_fragmented-packets,1.4944285512047411e-05,DECISION_TREE_MULTI
network_header-length_avg,0.0,DECISION_TREE_MULTI
network_header-length_max,0.0,DECISION_TREE_MULTI
network_header-length_min,0.0,DECISION_TREE_MULTI
network_fragmented-packets,0.0,LOGISTIC_REGRESSION
network_header-length_std_deviation,0.0,LOGISTIC_REGRESSION
network_interval-packets,0.1711859212597382,LOGISTIC_REGRESSION
network_ip-flags_min,0.0,LOGISTIC_REGRESSION
network_ip-flags_std_deviation,0.0349886048892164,LOGISTIC_REGRESSION
network_fragmented-packets,0.3429453985182728,LOGISTIC_REGRESSION_MULTI
network_header-length_std_deviation,0.0,LOGISTIC_REGRESSION_MULTI
network_interval-packets,0.1540136030983016,LOGISTIC_REGRESSION_MULTI
network_ip-flags_min,0.1218171103187428,LOGISTIC_REGRESSION_MULTI
network_ip-flags_std_deviation,0.2016058252357751,LOGISTIC_REGRESSION_MULTI
network_fragmentation-score,0.0005253089370436,RANDOM_FOREST
network_fragmented-packets,0.0009947196851264,RANDOM_FOREST
network_header-length_avg,2.574171773749448e-05,RANDOM_FOREST
network_header-length_max,4.608078529475022e-06,RANDOM_FOREST
network_header-length_min,1.2933363776221184e-05,RANDOM_FOREST
network_fragmentation-score,0.0002598000153173,RANDOM_FOREST_MULTI
network_fragmented-packets,0.0001980012082938,RANDOM_FOREST_MULTI
network_header-length_avg,0.0001602655286827,RANDOM_FOREST_MULTI
network_header-length_max,0.0002492542982177,RANDOM_FOREST_MULTI
network_header-length_min,0.0005890374865053,RANDOM_FOREST_MULTI
