feature,importance
network_header-length_min,0.0029200765333902974
network_packets_all_count,0.0029200765333902974
network_ports_src_count,0.00032287186254484373
network_ip-flags_min,0.0001562942160419777
network_fragmented-packets,0.00013358031602429563
network_header-length_avg,8.239050946251288e-05
network_protocols_dst_has_http,5.804031453627175e-05
network_fragmentation-score,4.9748998581069185e-05
network_packet-size_min,4.2964280283496544e-05
network_protocols_src_has_tcp,3.7319454521433694e-05
network_time-delta_min,3.712868161861484e-05
network_protocols_src_has_http,3.255799009281741e-05
network_protocols_src_has_telnet,2.370158795114959e-05
network_protocols_src_has_ssh,2.14821401417483e-05
network_protocols_dst_has_mqtt,2.0686902937706292e-05
network_protocols_src_count,1.7212790310388757e-05
network_protocols_dst_has_data,9.996579662102578e-06
network_protocols_dst_has_udp,8.919543292123673e-06
network_protocols_dst_has_tcp,7.390725705654893e-06
network_protocols_src_has_icmp,7.171625184085027e-06
network_window-size_std_deviation,7.166046707934989e-06
network_protocols_src_has_arp,6.753931892767453e-06
network_protocols_dst_has_ssh,3.846500531138331e-06
network_ips_src_count,0.0
network_ips_all_count,0.0
network_ip-length_std_deviation,0.0
network_ip-length_min,0.0
network_ips_dst_count,0.0
network_ip-length_avg,0.0
network_ip-flags_std_deviation,0.0
network_ip-flags_max,0.0
network_ip-flags_avg,0.0
network_header-length_std_deviation,0.0
network_interval-packets,0.0
network_header-length_max,0.0
network_ip-length_max,0.0
network_macs_dst_count,0.0
network_macs_all_count,0.0
network_payload-length_std_deviation,0.0
network_payload-length_min,0.0
network_mss_min,0.0
network_mss_std_deviation,0.0
network_mss_max,0.0
network_macs_src_count,0.0
network_packet-size_max,0.0
network_packet-size_std_deviation,0.0
network_packets_dst_count,0.0
network_packets_src_count,0.0
network_payload-length_avg,0.0
network_payload-length_max,0.0
network_packet-size_avg,0.0
network_mss_avg,0.0
network_tcp-flags_std_deviation,0.0
network_tcp-flags_min,0.0
network_tcp-flags_max,0.0
network_tcp-flags_avg,0.0
network_tcp-flags-urg_count,0.0
network_tcp-flags-syn_count,0.0
network_tcp-flags-rst_count,0.0
network_tcp-flags-psh_count,0.0
network_tcp-flags-fin_count,0.0
network_tcp-flags-ack_count,0.0
network_protocols_dst_count,0.0
network_protocols_all_count,0.0
network_ports_all_count,0.0
network_ports_dst_count,0.0
network_time-delta_max,0.0
network_time-delta_avg,0.0
network_protocols_src_has_data,0.0
network_window-size_avg,0.0
network_window-size_max,0.0
network_window-size_min,0.0
network_ttl_avg,0.0
network_ttl_max,0.0
network_ttl_min,0.0
network_ttl_std_deviation,0.0
network_time-delta_std_deviation,0.0
network_protocols_src_has_mqtt,0.0
network_protocols_src_has_dns,0.0
network_protocols_dst_has_lbtrm,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_telnet,0.0
network_protocols_dst_has_arp,0.0
network_protocols_dst_has_icmp,0.0
