feature,importance
network_fragmented-packets,0.0
network_header-length_std_deviation,0.0
network_interval-packets,0.0
network_ip-flags_min,0.0
network_ip-flags_std_deviation,0.0
network_mss_min,0.0
network_mss_std_deviation,0.0
network_packet-size_min,0.0
network_packet-size_std_deviation,0.0
network_payload-length_min,0.0
network_ports_src_count,0.0
network_tcp-flags-fin_count,0.0
network_tcp-flags-psh_count,0.0
network_tcp-flags-syn_count,0.0
network_tcp-flags-urg_count,0.0
network_time-delta_min,0.0
network_time-delta_std_deviation,0.0
network_window-size_min,0.0
network_protocols_src_has_ssh,0.0
network_protocols_src_has_http,0.0
network_protocols_src_has_data,0.0
network_protocols_src_has_mqtt,0.0
network_protocols_src_has_dns,0.0
network_protocols_src_has_telnet,0.0
network_protocols_src_has_arp,0.0
network_protocols_src_has_icmp,0.0
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_http,0.0
network_protocols_dst_has_data,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_lbtrm,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_telnet,0.0
network_protocols_dst_has_arp,0.0
network_protocols_dst_has_icmp,0.0
network_ports_src_has_22,0.0
network_ports_src_has_80,0.0
network_ports_src_has_8000,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_9595,0.0
network_ports_dst_has_443,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_80,0.0
network_ports_dst_has_23,0.0
network_ports_dst_has_6668,0.0
network_ports_dst_has_557,0.0
