feature,importance
network_protocols_dst_has_mqtt,0.02123810279485743
network_tcp-flags-psh_count,0.02013409192637639
network_ips_all_count,0.01767108568643688
network_protocols_dst_has_http,0.01220635001615561
network_protocols_dst_has_data,0.006317945984471522
network_protocols_dst_has_udp,0.0052346298508945685
network_protocols_src_has_tcp,0.00515890312396012
network_protocols_src_count,0.004548600205962162
network_protocols_src_has_icmp,0.004155539945586094
network_protocols_dst_has_tcp,0.0036881757872793738
network_protocols_src_has_mqtt,0.0035018807464208533
network_ip-length_max,0.003432428533259933
network_packets_all_count,0.003406014306809916
network_protocols_src_has_telnet,0.0031550243508528843
network_protocols_src_has_dns,0.003084726293518683
network_time-delta_std_deviation,0.003081806997274304
network_packets_src_count,0.0030601072935775037
network_tcp-flags-ack_count,0.003007342063709821
network_protocols_dst_has_ssh,0.0028707296916927307
network_protocols_src_has_data,0.002788817713345973
network_header-length_max,0.0027052804110570365
network_protocols_src_has_arp,0.0024701003141428344
network_payload-length_max,0.002431955637660939
network_ports_all_count,0.0022668354016712176
network_ip-length_std_deviation,0.002263416117990283
network_header-length_min,0.002201059109577794
network_macs_dst_count,0.002051055121443116
network_protocols_src_has_ssh,0.0020488350510931745
network_ip-length_min,0.0020438971492890696
network_window-size_std_deviation,0.001802349763131407
network_mss_avg,0.0017337579010949977
network_tcp-flags-fin_count,0.0017120790266633567
network_packets_dst_count,0.001689965324290306
network_ips_src_count,0.0016630982364501173
network_mss_min,0.0015523958484116886
network_ip-flags_min,0.0015456850677785573
network_ip-length_avg,0.0015298641893809718
network_fragmented-packets,0.0014273806763600877
network_ip-flags_max,0.001279519279497662
network_window-size_min,0.0012458200379088645
network_header-length_std_deviation,0.0012426045433608464
network_macs_all_count,0.0011484654457974942
network_packet-size_std_deviation,0.0010864763310871953
network_time-delta_max,0.0010703350565301176
network_ttl_min,0.0010634659121239352
network_interval-packets,0.0010322528785435769
network_ttl_avg,0.0010020695480091033
network_time-delta_avg,0.0009855587532755271
network_macs_src_count,0.0009828312580741298
network_packet-size_max,0.0009826134307782072
network_mss_std_deviation,0.0009682591108801249
network_ip-flags_std_deviation,0.0009351813743243528
network_ports_src_count,0.0009295595992073673
network_tcp-flags_std_deviation,0.0008514950214293623
network_protocols_dst_has_dns,0.0008053542040400756
network_mss_max,0.000791474258193512
network_ips_dst_count,0.0007810073989319593
network_window-size_avg,0.000773213517070573
network_header-length_avg,0.0007711496947012817
network_tcp-flags_max,0.0007052087982287807
network_payload-length_min,0.0007003259118427761
network_protocols_all_count,0.0006561482507942418
network_payload-length_avg,0.0006521390852027635
network_ttl_std_deviation,0.0006283772220860278
network_payload-length_std_deviation,0.0005827647012397921
network_fragmentation-score,0.0005748855114099706
network_protocols_dst_has_lbtrm,0.0005598382624971388
network_tcp-flags_avg,0.0005383478501896928
network_tcp-flags-urg_count,0.0005369807953350439
network_ttl_max,0.00047193283186755845
network_window-size_max,0.00043428345341295756
network_tcp-flags-syn_count,0.0003806933508629823
network_ports_dst_count,0.0003604697129238505
network_tcp-flags-rst_count,0.0003078044031064028
network_ip-flags_avg,0.0002802805196340366
network_protocols_dst_count,0.00026965465588842563
network_time-delta_min,0.0002538188925312379
network_tcp-flags_min,0.00023943556542708615
network_packet-size_avg,0.0002096088352902704
network_protocols_src_has_http,0.00020756796672986402
network_packet-size_min,0.00020607979131136717
