feature,importance
network_fragmentation-score,8.181486797442375e-05
network_fragmented-packets,9.776065480645695e-05
network_header-length_avg,3.436467023010374e-06
network_header-length_max,1.0016188235013889e-21
network_header-length_min,1.0661869665351591e-21
network_header-length_std_deviation,0.0
network_interval-packets,0.0012199569699012057
network_ip-flags_avg,0.0005838103759382213
network_ip-flags_max,1.2905636605847785e-07
network_ip-flags_min,5.925210873364169e-05
network_ip-flags_std_deviation,0.0002450735873099921
network_ip-length_avg,0.0003687388045341039
network_ip-length_max,0.0009692480682894718
network_ip-length_min,0.0006351297807337185
network_ip-length_std_deviation,0.00014913971840930872
network_ips_all_count,0.0002022095168539918
network_ips_dst_count,0.0014375468658589837
network_ips_src_count,0.0005912422352438969
network_macs_all_count,9.36191555154199e-06
network_macs_dst_count,0.0001897281107200279
network_macs_src_count,3.7505071092079964e-05
network_mss_avg,5.170192224272814e-06
network_mss_max,0.0
network_mss_min,0.0011969589057815777
network_mss_std_deviation,3.648363360225162e-07
network_packet-size_avg,0.00047952145409089125
network_packet-size_max,0.00270993663220459
network_packet-size_min,0.0013247783266173716
network_packet-size_std_deviation,0.0001250261759456686
network_packets_all_count,0.0007282775645798953
network_packets_dst_count,0.003929988687391027
network_packets_src_count,0.0004796785034940806
network_payload-length_avg,0.0006185566727909664
network_payload-length_max,0.00010509821652964141
network_payload-length_min,1.935265245974924e-05
network_payload-length_std_deviation,0.0003071738405269215
network_ports_all_count,0.007519758322914858
network_ports_dst_count,0.0008825714561053444
network_ports_src_count,0.0005744484644925048
network_protocols_all_count,0.0001680360294672597
network_protocols_dst_count,2.0483299040973848e-05
network_protocols_src_count,1.7072544451558177e-05
network_tcp-flags-ack_count,0.0009957086548505454
network_tcp-flags-fin_count,0.0004937394073423052
network_tcp-flags-psh_count,0.0009580382402986537
network_tcp-flags-rst_count,0.0008280632422450723
network_tcp-flags-syn_count,0.0018763385984212036
network_tcp-flags-urg_count,0.0
network_tcp-flags_avg,0.0003885898120365416
network_tcp-flags_max,0.00022435292645127204
network_tcp-flags_min,0.001708529471688584
network_tcp-flags_std_deviation,0.004936070876464027
network_time-delta_avg,0.0017016377886231024
network_time-delta_max,0.0012677351025094442
network_time-delta_min,0.0012350576001004282
network_time-delta_std_deviation,0.0013093032556750553
network_ttl_avg,0.0010816076115774734
network_ttl_max,2.208114803050722e-05
network_ttl_min,0.0015904330966029709
network_ttl_std_deviation,0.00037132266847986987
network_window-size_avg,0.0005441823060691979
network_window-size_max,0.00026089909909108775
network_window-size_min,0.003632498829533185
network_window-size_std_deviation,0.0008053100438526332
network_protocols_src_has_ssh,4.089874627271653e-06
network_protocols_src_has_tcp,8.556506535875451e-05
network_protocols_src_has_http,0.0
network_protocols_src_has_data,1.0647869319409783e-06
network_protocols_src_has_mqtt,1.5523906854233002e-06
network_protocols_src_has_dns,0.00013744465012022916
network_protocols_src_has_telnet,1.0281051671592432e-06
network_protocols_src_has_arp,4.24859929004824e-05
network_protocols_src_has_icmp,2.9120018947187714e-05
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_tcp,4.3328074676387975e-19
network_protocols_dst_has_http,0.0
network_protocols_dst_has_data,0.00045468677103133604
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_lbtrm,0.0
network_protocols_dst_has_dns,6.989716531724425e-08
network_protocols_dst_has_telnet,0.0
network_protocols_dst_has_arp,3.983405868529398e-05
network_protocols_dst_has_icmp,1.0273901070443633e-06
network_ports_src_has_9595,4.717904488954483e-07
network_ports_src_has_443,3.3289038192958216e-06
network_ports_src_has_1883,0.0011886747280959896
network_ports_src_has_22,0.00014212696334698138
network_ports_src_has_554,0.00036206499005644763
network_ports_src_has_80,0.00014416138578697161
network_ports_src_has_8000,7.233755484974733e-07
network_ports_src_has_23,3.3574600332984225e-05
network_ports_src_has_6668,7.587813573349287e-05
network_ports_src_has_557,0.0
network_ports_dst_has_9595,0.00014176625128726445
network_ports_dst_has_443,0.000239096362286876
network_ports_dst_has_1883,0.0008676218848626015
network_ports_dst_has_22,0.00021718314834798916
network_ports_dst_has_554,0.00043032489278991545
network_ports_dst_has_80,0.001300654856237141
network_ports_dst_has_8000,4.100565476885625e-07
network_ports_dst_has_23,0.0004481279803604346
network_ports_dst_has_6668,0.00023406253846707737
network_ports_dst_has_557,0.0
device_type_control,0.005309228493860076
device_type_infra,6.42531253564882e-05
device_type_iot,0.0012027319373559713
