feature,importance
network_fragmentation-score,5.340758708718325e-05
network_fragmented-packets,1.4944285512047413e-05
network_header-length_avg,0.0
network_header-length_max,0.0
network_header-length_min,0.0
network_header-length_std_deviation,0.0
network_interval-packets,0.002790921377960718
network_ip-flags_avg,0.0017051338443752819
network_ip-flags_max,0.0
network_ip-flags_min,0.0007501306055269041
network_ip-flags_std_deviation,0.0020552475533551977
network_ip-length_avg,0.009983166385253432
network_ip-length_max,0.014910150603405678
network_ip-length_min,0.011806892510130533
network_ip-length_std_deviation,0.00862861697459343
network_ips_all_count,0.007748104626110502
network_ips_dst_count,0.009881602600067025
network_ips_src_count,0.0010771356031124648
network_macs_all_count,0.004891250025986394
network_macs_dst_count,0.0093360167496143
network_macs_src_count,0.00018060596323025657
network_mss_avg,0.0
network_mss_max,0.00017504783706579649
network_mss_min,8.531392331564181e-05
network_mss_std_deviation,0.0
network_packet-size_avg,0.0017941255216604255
network_packet-size_max,0.0016558967758066444
network_packet-size_min,0.03654566990191157
network_packet-size_std_deviation,0.000699705583567321
network_packets_all_count,0.005090185925443458
network_packets_dst_count,0.061260839465512425
network_packets_src_count,0.006985266817944451
network_payload-length_avg,0.0003430787142854081
network_payload-length_max,0.002944537337444208
network_payload-length_min,0.0
network_payload-length_std_deviation,0.0025885140237008673
network_ports_all_count,0.002283661691564783
network_ports_dst_count,0.001617380753722894
network_ports_src_count,9.160576033506145e-05
network_protocols_all_count,0.000541906000948013
network_protocols_dst_count,0.0003969717053628551
network_protocols_src_count,0.001444224660325889
network_tcp-flags-ack_count,0.0021109931221414617
network_tcp-flags-fin_count,5.983891068819151e-05
network_tcp-flags-psh_count,0.00020379803567928837
network_tcp-flags-rst_count,0.0021266418932503932
network_tcp-flags-syn_count,0.00011781495533915453
network_tcp-flags-urg_count,0.0
network_tcp-flags_avg,0.005719833051683872
network_tcp-flags_max,0.000864843671385075
network_tcp-flags_min,2.2942387946063794e-05
network_tcp-flags_std_deviation,0.03202583323418313
network_time-delta_avg,0.00996364017651905
network_time-delta_max,0.004060669549260563
network_time-delta_min,0.0020370990831946865
network_time-delta_std_deviation,0.008869451761563195
network_ttl_avg,0.007871718717738795
network_ttl_max,0.0010204592451932414
network_ttl_min,0.01948228264679824
network_ttl_std_deviation,0.0003962314463821007
network_window-size_avg,0.0031920002606597815
network_window-size_max,0.0034522873340952953
network_window-size_min,0.010359175699710987
network_window-size_std_deviation,0.010882942466881682
network_protocols_src_has_ssh,0.0
network_protocols_src_has_tcp,0.0001483003353620373
network_protocols_src_has_http,0.0
network_protocols_src_has_data,0.00019029610033737608
network_protocols_src_has_mqtt,0.00026322427815931215
network_protocols_src_has_dns,0.0003657883088351572
network_protocols_src_has_telnet,0.0002151106871561231
network_protocols_src_has_arp,0.0004950188609052796
network_protocols_src_has_icmp,0.0012396542178937874
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_tcp,2.8342518446564058e-05
network_protocols_dst_has_http,2.3849935597658874e-05
network_protocols_dst_has_data,0.00019298067210513466
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_lbtrm,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_telnet,0.000699209317863469
network_protocols_dst_has_arp,0.0001856099358548571
network_protocols_dst_has_icmp,0.0
network_ports_src_has_9595,0.0
network_ports_src_has_443,0.00028251339754189575
network_ports_src_has_1883,0.0007331506495706362
network_ports_src_has_22,0.0
network_ports_src_has_554,0.0
network_ports_src_has_80,0.00027689129983917983
network_ports_src_has_8000,0.0
network_ports_src_has_23,0.0006456735100233474
network_ports_src_has_6668,0.00017543931932350197
network_ports_src_has_557,0.0
network_ports_dst_has_9595,0.0
network_ports_dst_has_443,0.00022559793659919896
network_ports_dst_has_1883,0.0008751022370649605
network_ports_dst_has_22,0.0004172413722675078
network_ports_dst_has_554,0.0
network_ports_dst_has_80,7.42639862421384e-06
network_ports_dst_has_8000,0.0
network_ports_dst_has_23,0.0015062424699182383
network_ports_dst_has_6668,1.3337932409379666e-05
network_ports_dst_has_557,0.0
device_type_control,0.00623163323600934
device_type_infra,0.0001046944659301495
device_type_iot,0.06183990094255898
