feature,importance
network_fragmented-packets,0.0
network_header-length_std_deviation,0.0
network_interval-packets,0.17118592125973828
network_ip-flags_min,0.0
network_ip-flags_std_deviation,0.034988604889216436
network_mss_min,0.07389444668122891
network_mss_std_deviation,0.0
network_packet-size_min,0.3576750904450701
network_packet-size_std_deviation,0.13376517833908458
network_payload-length_min,0.2572556921933206
network_ports_src_count,0.12869911920382018
network_tcp-flags-fin_count,0.009132362164565847
network_tcp-flags-psh_count,0.014094738927848524
network_tcp-flags-syn_count,0.012340123038403511
network_tcp-flags-urg_count,0.0
network_time-delta_min,0.057966825116971196
network_time-delta_std_deviation,0.021365438269472268
network_window-size_min,0.03228249997574801
device_type_infra,0.0
device_type_iot,0.0
network_protocols_src_has_ssh,0.0
network_protocols_src_has_http,0.0075541030654570586
network_protocols_src_has_data,0.23125198438119937
network_protocols_src_has_mqtt,0.0
network_protocols_src_has_dns,0.0
network_protocols_src_has_telnet,0.0
network_protocols_src_has_arp,0.04948026563190686
network_protocols_src_has_icmp,0.026618616732892016
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_ssh,0.0
network_protocols_dst_has_http,0.0
network_protocols_dst_has_data,0.0
network_protocols_dst_has_mqtt,0.0
network_protocols_dst_has_lbtrm,0.0
network_protocols_dst_has_dns,0.0
network_protocols_dst_has_telnet,0.0
network_protocols_dst_has_arp,0.04981521932142005
network_protocols_dst_has_icmp,0.0
network_ports_src_has_22,0.0
network_ports_src_has_80,0.0
network_ports_src_has_8000,0.0
network_ports_src_has_557,0.0
network_ports_dst_has_9595,0.0
network_ports_dst_has_443,0.0
network_ports_dst_has_554,0.0
network_ports_dst_has_80,0.0
network_ports_dst_has_23,0.0
network_ports_dst_has_6668,0.0
network_ports_dst_has_557,0.0
