feature,importance
device_type_control,0.018156467734218758
device_type_infra,0.0025075055765897427
device_type_iot,0.0330679754355774
network_fragmentation-score,0.00025980001531730556
network_fragmented-packets,0.0001980012082938628
network_header-length_avg,0.00016026552868275836
network_header-length_max,0.00024925429821770413
network_header-length_min,0.0005890374865053633
network_header-length_std_deviation,2.715667328872816e-07
network_interval-packets,0.004263246764014103
network_ip-flags_avg,0.004989173090354782
network_ip-flags_max,0.0001391398583699099
network_ip-flags_min,0.00017883994542204496
network_ip-flags_std_deviation,0.0015423129859331011
network_ip-length_avg,0.0049452045627730755
network_ip-length_max,0.0014211852328200956
network_ip-length_min,0.006818285071812429
network_ip-length_std_deviation,0.001428532702727
network_ips_all_count,0.0047959328619192314
network_ips_dst_count,0.002628144807922869
network_ips_src_count,0.0017132832211333097
network_macs_all_count,0.007025946663628526
network_macs_dst_count,0.004920943420243538
network_macs_src_count,0.006338211985887338
network_mss_avg,0.0031461343668765366
network_mss_max,0.0036204181667508616
network_mss_min,0.0029064077539249123
network_mss_std_deviation,3.5990664660364043e-06
network_packet-size_avg,0.0027311844954889153
network_packet-size_max,0.001351090082688146
network_packet-size_min,0.023038004192987942
network_packet-size_std_deviation,0.0012247878773246443
network_packets_all_count,0.019424932518151302
network_packets_dst_count,0.024663027149585074
network_packets_src_count,0.001817991065977729
network_payload-length_avg,0.0024391223105950867
network_payload-length_max,0.001065135870156535
network_payload-length_min,0.00048044136147882324
network_payload-length_std_deviation,0.0014214724243817223
network_ports_all_count,0.010377472451281344
network_ports_dst_count,0.002081039955667476
network_ports_src_count,0.004608022090315192
network_protocols_all_count,0.00045298957366165013
network_protocols_dst_count,0.0013976465144984658
network_protocols_src_count,0.0008164544408240901
network_tcp-flags-ack_count,0.0008115421414030758
network_tcp-flags-fin_count,0.0007634542922209056
network_tcp-flags-psh_count,0.0005144816959664234
network_tcp-flags-rst_count,0.00618548149772748
network_tcp-flags-syn_count,0.00395095581498851
network_tcp-flags-urg_count,1.108109361786329e-06
network_tcp-flags_avg,0.002574787886719713
network_tcp-flags_max,0.0004109862452888817
network_tcp-flags_min,0.000977739419060831
network_tcp-flags_std_deviation,0.005938803059316333
network_time-delta_avg,0.006754278581598899
network_time-delta_max,0.0032337582208418446
network_time-delta_min,0.0019910961835291957
network_time-delta_std_deviation,0.0067615978806395685
network_ttl_avg,0.002199490501612735
network_ttl_max,0.0005990228213613264
network_ttl_min,0.009414310935546595
network_ttl_std_deviation,0.004538682565313688
network_window-size_avg,0.004827453644939464
network_window-size_max,0.0025890377128522644
network_window-size_min,0.007489305909549534
network_window-size_std_deviation,0.006973070110619917
network_protocols_src_has_ssh,2.0830526186005386e-06
network_protocols_src_has_tcp,0.0004677856036578103
network_protocols_src_has_http,3.0083372304654745e-06
network_protocols_src_has_data,0.0004758621887681131
network_protocols_src_has_mqtt,0.00036434439519192466
network_protocols_src_has_dns,0.000509505114863052
network_protocols_src_has_telnet,0.002502253248174946
network_protocols_src_has_arp,0.00041290454453398015
network_protocols_src_has_icmp,0.00025133853590162346
network_protocols_dst_has_udp,0.0
network_protocols_dst_has_ssh,3.276016099750357e-05
network_protocols_dst_has_tcp,0.00041619118906436936
network_protocols_dst_has_http,4.3790286863730104e-06
network_protocols_dst_has_data,0.000579256845153833
network_protocols_dst_has_mqtt,4.940534614121595e-05
network_protocols_dst_has_lbtrm,8.582085459689997e-08
network_protocols_dst_has_dns,9.870225861505559e-05
network_protocols_dst_has_telnet,0.0001435551549380126
network_protocols_dst_has_arp,0.00025341693777365773
network_protocols_dst_has_icmp,0.001555073823816717
network_ports_src_has_9595,2.979616518555604e-05
network_ports_src_has_443,0.0001237624583235913
network_ports_src_has_1883,0.0005173476547346758
network_ports_src_has_22,0.0008012428378621622
network_ports_src_has_554,7.009900942666166e-05
network_ports_src_has_80,0.00013500266312662713
network_ports_src_has_8000,7.680024495375323e-05
network_ports_src_has_23,0.004731355859773419
network_ports_src_has_6668,0.0001362605430537959
network_ports_src_has_557,0.0
network_ports_dst_has_9595,9.067120776367996e-05
network_ports_dst_has_443,0.00012708204683431357
network_ports_dst_has_1883,0.00040143424688787044
network_ports_dst_has_22,0.0005871020945882015
network_ports_dst_has_554,7.858420183958216e-05
network_ports_dst_has_80,7.955445240561933e-05
network_ports_dst_has_8000,2.0234885185744565e-05
network_ports_dst_has_23,0.006280959883920001
network_ports_dst_has_6668,8.103655715798118e-05
network_ports_dst_has_557,1.349184586216759e-07
